,lat,lon,Date_Mid_Greenup_Phase_1,Date_Mid_Senescence_Phase_1,EVI2_Growing_Season_Area_1,EVI2_Onset_Greenness_Increase_1,EVI2_Onset_Greenness_Maximum_1,Growing_Season_Length_1,Onset_Greenness_Increase_1,Onset_Greenness_Maximum_1,Rate_Greenness_Decrease_1,Rate_Greenness_Increase_1,lat_x,lon_x,year_x,temp_all,temp_spring,temp_autumn,temp_summer,Unnamed..0,O3_all,O3_spring,O3_autumn,O3_summer,AOT40_all,AOT40_spring,AOT40_autumn,AOT40_summer,LC_Prop1,LC_Prop2,LC_Prop3,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,year_y,co2_spring,co2_summer,co2_autumn,co2_all
0,-21.009739,55.272675,49,209,58.95,0.1482,0.1957,226,281,183,0.0113,0.0001,-21.009739,55.272675,2022,294.591677,296.4570845,287.2670544,288.1932488,1308,15.55958314,13.65805388,19.32562535,19.44686068,0,0,0,0,22,20,20,9,9,4,2,2,2021,,,,
1,-20.903294,55.468334,34.75,241.75,76.7,0.29905,0.439175,267.25,104.5,49,0.0025,0.005575,-20.903294,55.468334,2016.75,294.9221627,296.2969159,291.6188528,292.5001856,1298.75,17.09563279,13.93800075,22.04938292,22.61324871,0,0,0,0,31,9,30,13,13,10,8,9,2016.75,,,,
2,4.9378467,-52.32093,80.25,219.5,53.055,0.192375,0.264125,217.5,125.25,120.5,0.0033,0.00095,4.9378467,-52.32093,2018,299.1997177,298.792281,297.4734939,295.5427033,1335.75,15.96137374,17.728587,14.15007091,13.71748495,0,0,0,0,22,9,20,13,13,10,8,9,2018,408.9665006,408.0706054,407.7616433,408.3627195
3,14.678025,-60.939056,168,246,45.78,0.2115,0.2619,99,158,178,0.0025,0.0031,14.678025,-60.939056,2022,299.1138128,298.6249346,299.864573,295.977722,1312,19.57022297,21.67902901,14.66913176,14.04470455,33.72,1.526666667,0,0,31,9,30,13,13,10,8,9,2021,,,,
4,28.026317,-15.414657,12,205,56.14,0.1001,0.1762,264,313,31,0.0006,0.007,28.026317,-15.414657,2018,291.1821885,289.0939039,289.0740215,289.6945302,942,33.7671899,38.29127124,31.45132239,31.0849089,7796.466667,6950.533333,630.8,566.4666667,32,9,30,13,13,10,8,9,2018,,,,
5,28.1033,-15.4228,139,190,43.06,0.1536,0.208,83,127,150,0.0018,0.003,28.1033,-15.4228,2022,292.8639769,290.9496966,290.0857711,290.8114002,982,30.78785485,36.10186101,28.49704237,28.25316747,4078,2912.733333,1043.6,934.8666667,32,9,30,13,13,10,8,9,2021,,,,
6,28.8051,-17.78255,60.75,225.75,80.615,0.333625,0.5092,227.25,102.25,95.75,0.004275,0.00365,28.8051,-17.78255,2019.5,290.3602412,288.3893435,290.4330797,292.6994723,955.25,29.22716265,33.12141677,25.95729782,25.61561178,2335.633333,1750.683333,393,368.45,22,20,20,9,9,4,2,2,2019.25,,,,
7,32.649722,-16.918333,95,231,47.67,0.159,0.1956,206,32,197,0.0048,0.0002,32.649722,-16.918333,2015,289.1115174,286.4759618,292.5989232,288.865468,1973,18.86805641,15.30503454,16.35700875,18.5538488,134.12,50.37333333,54.20666667,73.7,22,9,20,13,13,10,8,9,2015,,,,
8,32.807778,-16.886389,103.3333333,270,81.79333333,0.378633333,0.514566667,229.3333333,66.33333333,146.3333333,0.004433333,0.002233333,32.807778,-16.886389,2020,289.7477547,287.6072859,293.1858991,292.909701,2086.666667,32.51612835,38.48242103,26.54951732,26.31770676,9216.48222,8016.928886,290.8666666,377.5777777,22,20,20,9,9,4,2,2,2020,,,,
9,36.13623,-5.45343,66,243.5,50.825,0.13985,0.18575,239,55,77,0.0004,0.0045,36.13623,-5.45343,2021.5,291.1991463,288.73177,295.4511756,291.8262448,777.5,25.75999217,29.17628861,23.64224965,25.16785864,2005.633333,894.4666665,911.4666665,1001.7,32,9,30,13,13,10,8,9,2021,413.9778418,411.4578015,410.8509681,412.7142939
10,36.17943,-5.37697,34.33333333,189,50.63,0.147166667,0.1977,231.6666667,104.6666667,65.66666667,0.000833333,0.0015,36.17943,-5.37697,2019,291.2642183,288.636445,290.9365689,292.4079946,581.6666667,28.3451619,32.31362484,27.17762564,26.71269646,8369.266666,4001.777778,3339.755555,2863.866667,32,9,30,13,13,10,8,9,2018.666667,408.9638629,406.416255,405.7962016,407.6405093
11,36.20879,-5.39138,56,185,49.05,0.2076,0.2622,198,33,79,0.0009,0.0015,36.20879,-5.39138,2014,290.9852675,288.4003626,290.7341049,292.1759037,586,30.18788444,33.75047418,29.1877036,30.25413655,8619.266667,5327.933333,2083.4,2861.866667,22,20,20,9,9,4,2,2,2014,398.9359049,396.333162,395.6866688,397.4929402
12,36.511,-4.863,77,238,52.58,0.1551,0.2152,260,28,126,0.0008,0.0007,36.511,-4.863,2022,291.1609309,287.6826854,296.6813842,293.6810885,951,26.65592917,28.92847048,26.49565108,28.22097778,7751.6,3581.4,2868.4,3699.133333,32,9,30,13,13,10,8,9,2021,413.8944119,411.2584316,410.6472892,412.5919684
13,36.71414,36.22391,72,326,71.31,0.2251,0.298,308,52,93,0.0021,0.0022,36.71414,36.22391,2016,290.1455772,288.0353034,297.0171822,293.9747707,2359,31.01295685,30.71161616,33.6314589,33.82568306,15915.86667,5773.066667,5558.4,6901.133333,22,9,20,13,13,10,8,9,2016,404.4109981,401.581962,401.3037199,406.8157729
14,36.95,-1.96148,86,277.6666667,52.16,0.197233333,0.309733333,266,59.66666667,112.3333333,0.001266667,0.003433333,36.95,-1.96148,2020.333333,292.1636078,288.7646235,297.9384632,294.7744345,854,35.03846832,37.68783614,36.22811971,36.61924324,16167.97778,7775.066667,6837.91111,6994.177777,43,40,40,7,7,2,2,5,2020,412.4638298,409.5397238,408.8761185,410.9728017
15,36.99917,35.31243,84.4,282.8,51.918,0.13402,0.1865,279.2,48,120.8,0.00072,0.00106,36.99917,35.31243,2018,292.3000865,288.9677647,299.0279275,296.9241368,2295,18.41305896,15.74212211,24.51584585,27.5529922,5638.835732,819.5450667,3041.070533,4113.399332,32,9,30,13,13,10,8,9,2018,409.0844333,406.0799805,405.7251066,407.8301175
16,37.00411,35.34404,65.5,273.5,52.16,0.12355,0.17505,269,51,80.5,0.00055,0.00395,37.00411,35.34404,2018,292.2529854,289.0944611,300.2403466,296.9909514,2324.5,20.39509847,17.54835475,28.01610825,28.00415361,7452.407,40.768,5407.431998,3789.878666,32,9,30,13,13,10,8,9,2018,408.9720544,406.0021041,405.593551,407.7525961
17,37.13556,-3.61925,63,277,76.78,0.156,0.2802,297,38,87,0.0012,0.0032,37.13556,-3.61925,2013,287.2251468,283.1624885,295.1528622,291.8934105,814,27.17607549,29.53489851,30.92684451,35.22341688,16515.93333,3694.533333,9382.133333,12138.33333,32,9,30,13,13,10,8,9,2013,396.7170807,393.746191,392.8628394,398.4034189
18,37.1388,-1.8422,56,186,52.29,0.1809,0.2666,196,31,81,0.0013,0.0021,37.1388,-1.8422,2021,291.0926558,288.080544,291.9110718,293.7374716,976,36.00989178,37.01020281,37.87654503,38.56299536,12251.2,4096.333333,5753.266667,6223.866667,22,20,20,9,9,4,1,1,2021,413.8598606,411.3378044,410.6886862,412.5823998
19,37.16568,-3.6001,85.5,293.5,50.02,0.0908,0.13465,276.5,78.5,92.5,0.0003,0.00435,37.16568,-3.6001,2014.5,288.924748,285.8106967,296.1258961,293.5261407,868,24.18363665,27.61296531,27.00075576,31.60830933,10843.46667,4095.166667,4029.133334,6668.866667,43,9,40,13,13,10,8,9,2014.5,399.7997716,397.3756342,396.6660486,398.4791435
20,37.182374,15.128831,51,289,20.35,0.2012,0.251,313,39,62,0.0004,0.0027,37.182374,15.128831,2022,291.6480607,286.9363882,298.230166,296.0032087,1479,37.66479785,40.14040151,41.29499063,43.32999916,20756.41305,7122.581572,10122.12089,13011.82214,22,9,20,13,13,10,8,9,2021,413.9821766,410.8559688,410.5596815,412.6479755
21,37.27964,-6.93807,13,211,19.31,0.1378,0.2248,299,354,51,0.0008,0.0009,37.27964,-6.93807,2013,291.6019091,288.2240431,293.0128962,295.0845046,487,33.78701782,36.62295293,35.71428571,39.12621937,21058.73333,6751.533333,11107.6,13795.53333,32,9,30,13,13,10,8,9,2013,396.4116806,393.8207911,392.9822946,395.084478
22,37.34075,-6.04246,35,183,56.14,0.2076,0.3057,250,292,69,0.0013,0.0019,37.34075,-6.04246,2020,292.5929473,290.2345781,293.7436957,296.2010645,781,24.81531023,26.93765753,28.92917381,30.427797,6336.2,2029.266667,3823.866667,4162.266667,22,20,20,9,9,4,1,1,2020,414.3342117,411.1839387,410.6055471,412.699153
23,37.34719,-5.97963,80.4,258,44.148,0.15966,0.2113,236.8,62,99,0.00114,0.00266,37.34719,-5.97963,2016.4,292.1826445,289.1746988,296.8038338,296.0373783,733.2,24.91609415,29.51391506,26.95357826,30.03300388,13451.84747,5211.919999,6226.229066,7669.029067,32,9,30,13,13,10,8,9,2016.4,405.0306479,402.0974494,401.432688,403.5721392
24,37.39831,-5.95165,91,300,55.995,0.22375,0.29335,277.5,73,109,0.00075,0.0037,37.39831,-5.95165,2017.5,292.2252754,288.8484038,299.2710844,296.5362817,694,26.70180056,29.90307926,30.77212293,33.90208403,15512.4,5129.566667,7981,9831.766665,22,9,20,13,13,10,8,9,2017.5,407.874797,404.8086159,404.2112849,406.4544344
25,37.55502,-6.03616,5,246,55.31,0.1789,0.2116,275,312,27,0.0019,0.0005,37.55502,-6.03616,2020,292.7110293,290.3193917,298.9717072,296.5572863,894,23.69771614,23.96352859,28.07330458,28.64427481,2308.333333,356.9333333,1758.6,1846.8,22,20,20,9,9,4,1,1,2020,414.3342117,411.1839387,410.6055471,412.699153
26,37.69361111,-1.06472222,97,183,56.33,0.1575,0.3206,144,59,135,0.0056,0.0028,37.69361111,-1.06472222,2021,291.2461107,288.2308566,292.1588779,293.9339047,693,26.81293945,23.975,30.51483254,28.04682648,6623.2,53.46666667,5398.333333,2782.2,43,40,40,7,7,2,2,5,2021,413.8598606,411.3378044,410.6886862,412.5823998
27,37.72302,30.29445,128,185,9.11,0.1601,0.2397,119,91,164,0.0016,0.0015,37.72302,30.29445,2020,286.2238861,282.1042036,290.1515938,291.8775628,2404,27.40716781,28.25189409,32.62492976,36.1395967,19542.03533,4428.284666,12238.56667,14273.00533,32,9,30,13,13,10,8,9,2020,413.8064867,410.7617682,410.3305121,412.6345834
28,37.760251,30.579414,102,214,13.33,0.1461,0.2456,164,89,116,0.0012,0.0047,37.760251,30.579414,2020,284.536141,280.3859977,288.2845301,289.9642854,2160,27.75447644,29.28064721,31.71438184,35.03279846,17611.60933,3979.623999,11459.484,12773.858,32,9,30,13,13,10,8,9,2020,413.8064867,410.7617682,410.3305121,412.6345834
29,37.78255,-3.78157,100,292.25,18.9675,0.136375,0.16745,243.75,84.75,162.5,0.0013,0.001975,37.78255,-3.78157,2017.5,290.1017694,286.9092681,297.248484,294.7726633,758.5,31.69831518,34.91740378,35.074962,39.15137719,21932.53334,8393.966667,9713.899999,13035.71667,32,9,30,13,13,10,8,9,2017.25,406.0763081,403.5751535,402.893177,404.7736235
30,37.86819,32.51631,107,303,53.92,0.1201,0.1858,288,72,141,0.0007,0.0012,37.86819,32.51631,2016,286.2178257,284.4035246,294.2008778,292.2757987,2075,17.58190444,15.70002296,24.17782294,27.6871357,5631.266667,930.2666667,3819.4,4625.933333,32,9,30,13,13,10,8,9,2016,403.6642006,401.0194951,400.8239063,402.7366444
31,37.96839,34.685573,93,298,13.44,0.1254,0.1811,289,69,117,0.0005,0.0014,37.96839,34.685573,2020,283.1304963,278.455339,292.8652559,289.3016504,2197,26.20875509,26.08238653,32.03796423,35.39384415,14909.722,2015.757333,10158.52333,11681.61867,32,9,30,13,13,10,8,9,2020,414.1723721,410.7926118,410.3596582,412.8223997
32,37.97820663,23.72684288,102.5,257.5,48.79,0.1139,0.1573,240.5,52,153,0.001,0.00095,37.97820663,23.72684288,2015,291.1947458,288.345067,294.9280915,295.310059,1398.5,16.59734711,19.64740065,18.73452791,21.19811017,2137.166667,844.6666665,958.4666667,1283.066667,16.5,9,15.5,13,13,10,8,9,2015,401.8243829,398.4608822,398.4677188,400.6238901
33,37.99361111,-1.14472222,121.6666667,296.3333333,39.38333333,0.1482,0.202833333,230,85,168.6666667,0.002066667,0.0031,37.99361111,-1.14472222,2020,291.4167921,288.3783872,297.7855581,295.2167899,758.6666667,23.80323555,25.919979,27.27377413,31.2184383,14767.96889,5266.933333,6317.613333,8974.600001,32,9,30,13,13,10,8,9,2019.666667,411.5160124,408.7776195,408.1419057,410.1560173
34,37.99510574,23.81941795,77,260.6666667,15.46333333,0.274266667,0.343633333,270,40.66666667,117.6666667,0.0008,0.0012,37.99510574,23.81941795,2018,290.6265779,287.5986878,295.3697908,294.8446062,1431.666667,38.89121034,38.49106957,45.78483369,42.93249948,37724.22222,8772.08889,23534.44445,27733.17778,31,9,30,13,13,10,8,9,2018,409.6382645,405.9431289,405.7680599,407.9706954
35,37.99945831,23.73304749,108,261.6666667,48.12,0.085166667,0.129333333,249,64.66666667,151,0.0006,0.000666667,37.99945831,23.73304749,2016,290.9150086,287.1361653,297.6135587,295.1895826,1416.333333,9.351666521,8.774389785,12.93707736,13.66021332,331.4,19.95555556,286.3111111,311.4444444,1,9,1,13,13,10,8,9,2016,404.2698278,400.7332211,400.595362,402.8005295
36,38.02080536,23.68835449,148,301,7.94,0.1171,0.1473,239,116,179,0.0004,0.0006,38.02080536,23.68835449,2018,291.3351677,289.4821764,297.0863748,294.9532259,1405,30.81413138,32.59945839,37.2368254,41.32808345,28605.66667,9563.466667,14794.2,18742.8,1,9,1,13,13,10,8,9,2018,409.514101,405.1777927,404.8413992,407.6765304
37,38.174341,15.546512,64,252,51.69,0.1064,0.1551,267,22,126,0.0006,0.0005,38.174341,15.546512,2022,291.3342627,286.9191302,297.3853693,294.8212098,1784,30.80067962,35.9774777,25.18232861,29.77827969,5395.395068,4698.092151,31.21611267,657.1965463,32,9,30,13,13,10,8,9,2021,414.0119927,410.9767573,410.7017915,412.6910466
38,38.25309753,21.73843002,79,229,47.02,0.0657,0.1011,218,54,117,0.0006,0.0006,38.25309753,21.73843002,2017,288.8219378,285.6503883,290.7573591,293.5879826,1428,30.5658781,32.93528455,34.46488462,38.56521947,14990.73333,5466.466667,6732.733333,9473.933333,1,9,1,13,13,10,8,9,2017,407.0871555,403.5253167,403.722372,405.6797869
39,38.364483,34.028539,77,317,65.99,0.1107,0.2103,298,67,88,0.0013,0.0059,38.364483,34.028539,2020,285.8956192,281.8273246,295.308524,292.1745125,2214,28.22864511,30.58491177,31.25150281,34.44336537,8568.143998,1171.049333,5936.191332,6853.977999,32,9,30,13,13,10,8,9,2020,413.6695014,410.8069996,410.4389668,412.6242641
40,38.37524796,23.11026764,69,199,55.9,0.2569,0.3629,192,50,89,0.0011,0.0034,38.37524796,23.11026764,2017,289.3855738,286.5252214,291.3610091,294.6009861,1445,27.43248347,22.02520436,35.17388535,34.11786131,9332.266667,1175.466667,6170.933333,8137.2,22,9,20,13,13,10,8,9,2017,407.1960898,404.1665871,404.2446966,405.902359
41,38.39092,16.23452,113,265.25,56.3325,0.3958,0.471725,220.5,83.5,142.5,0.00525,0.004625,38.39092,16.23452,2018,288.2503819,285.0297995,292.7492162,295.1940848,1724,38.84352436,38.80856577,43.27613719,34.88057093,29045.0487,8142.421645,16639.92601,19844.81769,12,10,10,2,2,5,2,2,2018,408.7606729,405.2037687,404.9093284,407.2406877
42,38.45166666,-1.06472222,103.5,282.5,61.96,0.15775,0.27695,240,82,124.5,0.0013,0.0035,38.45166666,-1.06472222,2021.5,289.4488534,285.9631611,296.1850438,293.7224019,893.5,30.21211225,31.63188325,31.20109794,32.10241518,7028.766667,2393.9,3861.333333,4147.1,43,40,40,7,7,2,1,5,2021,413.6008204,411.0557723,410.5201806,412.4376405
43,38.6232,34.7014,118,296,23.46,0.1101,0.2298,279,68,168,0.0014,0.0015,38.6232,34.7014,2020,284.2656439,279.719705,293.8169293,290.537062,2196,25.38832405,26.1031948,30.74205777,31.20155395,5129.674665,53.90466658,4988.447332,4579.397999,32,9,30,13,13,10,8,9,2020,413.6695014,410.8069996,410.4389668,412.6242641
44,38.66458,16.08024,57,294,75.88,0.3558,0.4842,335,24,90,0.001,0.0024,38.66458,16.08024,2016,289.2873249,286.5049519,294.5254949,295.2003649,1727,33.6218725,35.62857602,34.84703502,37.00935308,8308.65533,3095.981332,3987.943332,5124.905331,22,20,20,9,9,4,2,2,2016,404.3223439,401.34004,401.1438818,406.6708788
45,38.68925,-4.11151,79.5,271.5,52.005,0.1089,0.1569,249.5,55.5,104,0.0012,0.00255,38.68925,-4.11151,2019,288.7557409,285.107992,293.7999733,294.1632898,666,24.01544564,22.82675187,29.74261045,31.83790246,5010.533334,443.4666667,4053.333333,4446.866667,43,9,40,13,13,10,8,9,2019,411.5382914,408.5928012,408.1256986,410.1222967
46,38.6893,-4.1115,77,212,48.18,0.1119,0.1649,220,47,107,0.0006,0.0011,38.68925,-4.11151,2021,289.113195,286.2534308,291.8208192,294.2576405,664,30.5629737,29.5153191,36.58434718,38.42472849,14744.8,2589.133333,9432.933333,10215.8,43,9,40,13,13,10,8,9,2021,414.0057066,411.117469,410.6517655,412.6512624
47,38.70638888,-0.46694444,123,301,49.63,0.1626,0.2229,225,85,162,0.0029,0.0009,38.70638888,-0.46694444,2021,287.8979421,284.943259,294.4029966,291.8892523,762,25.97281419,28.58471931,27.54366837,29.96570513,5106.133333,1272.466667,2936.133333,3808.066667,32,9,30,13,13,10,8,9,2021,413.9444361,410.9520508,410.4368601,412.5661159
48,38.717305,35.486887,122,296,10.32,0.0734,0.123,246,96,148,0.0005,0.0012,38.717305,35.486887,2020,284.4873925,279.5326953,294.622207,291.0706373,2183,14.81403033,15.35326305,17.65369019,19.88802667,650.8,36.73333333,584.7333333,578.1333333,32,9,30,13,13,10,8,9,2020,413.946066,410.8197111,410.1603574,412.500558
49,38.74027,35.37527,93,305,24.3,0.1338,0.239,338,24,133,0.0009,0.0009,38.74027,35.37527,2020,284.6249591,279.7290214,294.682736,291.1518695,2424,20.18091455,14.53866776,29.71738526,33.74343507,11633.6,1478.266667,8485.4,9153.266667,32,9,30,13,13,10,8,9,2020,413.946066,410.8197111,410.1603574,412.500558
50,38.747651,30.552896,73,207,8.23,0.1645,0.2193,206,24,121,0.0013,0.0007,38.747651,30.552896,2020,284.7498221,281.0503669,289.0048448,290.9812385,2129,21.15107266,22.79579091,26.39410057,29.9705337,6733.379999,560.399333,5244.642666,5986.671999,32,9,30,13,13,10,8,9,2020,413.9929373,410.5991741,410.2415324,412.6406089
51,38.748611,-9.148889,90.83333333,234.3333333,54.34166667,0.192383333,0.272233333,219.6666667,65.66666667,111.5,0.000983333,0.00305,38.748611,-9.148889,2018.166667,290.0693357,288.1567206,291.6074616,290.326155,2023.833333,22.76291579,25.38866979,24.25564976,26.37239813,2607.24,1082.716667,1305.017778,1477.827778,32,9,30,13,13,10,8,9,2018.166667,409.398396,406.3698132,405.7420846,407.8290358
52,38.754167,-9.230833,87,287,52.395,0.14725,0.1978,279,77.5,96.5,0.0004,0.0039,38.754167,-9.230833,2019,289.7479758,287.4842928,293.8767671,290.2331527,2075.5,27.76717969,31.67822707,29.82587889,31.02264753,8061.133335,3467.4,4126.4,4369.566667,43,9,40,13,13,10,8,9,2019,412.1070644,408.705786,408.1560917,410.3464744
53,38.768889,-9.108056,31.33333333,243,52.47666667,0.162933333,0.212333333,293,115.6666667,83.33333333,0.000566667,0.0019,38.768889,-9.108056,2015.333333,289.6117201,287.3677659,290.7060033,290.3047713,1936,25.64688336,27.96763811,26.78991736,29.79750598,5734.604445,1343.331111,3425.726667,4307.135555,32,9,30,13,13,10,8,9,2015.333333,402.3570922,399.418935,398.6984294,400.8971547
54,38.785,-9.347222,47.5,187,52.155,0.1489,0.21765,213.5,178,115.5,0.00175,0.00325,38.785,-9.347222,2020,289.1222691,286.6462001,287.9265578,289.1058418,2044.5,32.2888456,35.68623022,34.20774097,34.21289445,10277.53334,4428.9,5557.333333,5157,32,9,30,13,13,10,8,9,2019.5,412.1070644,408.705786,408.1560917,410.3464744
55,38.918288,16.57925,112,252.5,34.97,0.3864,0.47925,208.5,86.5,138,0.00125,0.0023,38.918288,16.57925,2019.5,289.5523381,285.8250498,293.3469527,297.0101729,1776.5,37.79299633,40.4556986,39.57407172,33.52829637,16318.51999,7901.238332,6370.039665,8168.521995,22,9,20,13,13,10,8,9,2019.5,413.0896951,409.5380634,409.0436223,411.4265271
56,38.9793,-1.8521,107.2,316.2,44.264,0.1553,0.19736,270.2,70.2,173,0.00224,0.00152,38.9793,-1.8521,2017.4,288.401442,285.5546352,295.4316279,293.1746642,707.2,30.62448881,33.17810541,32.57585806,35.69633385,13630.86667,5548.159999,5009.866667,7785.746667,43,9,40,13,13,10,8,9,2017.4,406.8203968,404.0761963,403.5189981,405.5054758
57,38.9939,-3.9378,64,272.75,67.4075,0.191675,0.299825,289,36.75,102.75,0.00125,0.0038,38.9939,-3.9378,2015.25,288.6694038,284.5453482,296.8252565,294.3574105,818,28.60031149,31.05110222,31.95756863,35.30881871,11323.10667,2884.815,6654.471667,8170.975,31.25,9,30,13,13,10,8,9,2015.25,402.23592,399.2468815,398.6773994,402.4179019
58,39.14841,34.15925,116.3333333,294.6666667,44.76666667,0.132766667,0.210833333,257.6666667,83,149.3333333,0.0011,0.002633333,39.14841,34.15925,2019,285.4213529,282.4090804,293.3155208,290.6751094,2361.333333,18.94839814,13.43565693,30.22855075,30.27546684,12480.55,2488.44,8228.213777,9461.154662,32,9,30,13,13,10,8,9,2019,411.0982517,408.3405629,407.9608069,409.9485221
59,39.15,-0.45777777,75,193,55.05,0.3433,0.4045,198,39,110,0.0014,0.0011,39.15,-0.45777777,2020,291.4266037,289.0194128,292.1801729,298.4554666,774,22.39594589,23.92506925,24.01506779,24.65892673,2853.066667,1338.466667,1199.6,1017.133333,22,20,20,9,9,4,2,2,2020,414.1613323,411.4299406,410.9149024,412.7680058
60,39.18141,27.61291,74.66666667,262,56.48,0.1569,0.2227,253.6666667,57.33333333,92,0.0007,0.002933333,39.18141,27.61291,2018,287.8159434,285.015395,294.4542836,292.2808303,2315.333333,9.360096453,4.003462648,17.79521922,16.47329097,69.77688883,3,62.06422217,40.7655555,32,9,30,13,13,10,8,9,2018,409.367085,405.3534686,405.1156753,407.6830493
