,lat,lon,Unnamed: 0.1,Unnamed: 0,Date_Mid_Greenup_Phase_1,Date_Mid_Senescence_Phase_1,EVI2_Growing_Season_Area_1,EVI2_Onset_Greenness_Increase_1,EVI2_Onset_Greenness_Maximum_1,Growing_Season_Length_1,Onset_Greenness_Increase_1,Onset_Greenness_Maximum_1,Rate_Greenness_Decrease_1,Rate_Greenness_Increase_1,lat_x,lon_x,year_x,Unnamed..0_y,temp_all,temp_spring,temp_autumn,temp_summer,Unnamed..0,O3_all,O3_spring,O3_autumn,O3_summer,AOT40_all,AOT40_spring,AOT40_autumn,AOT40_summer,LC_Prop1,LC_Prop2,LC_Prop3,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,year_y,co2_spring,co2_summer,co2_autumn,co2_all
0,25.587326,-80.32592,377.5,2970.5,140.25,311.75,20.865,0.383675,0.48615,257,96,184.75,0.001925,0.0015,25.587326,-80.32592,2017.75,49,297.9169822,296.8039197,300.2927517,289.59533,59.25,26.61780553,33.28619551,20.15706143,18.52823754,9877.5,7704.5,630,153.75,22,9,20,13,13,10,8,9,2017.75,405.6842682,405.4931487,405.2274217,405.4407182
1,25.892517,-97.49383,4613,1590.333333,109.6666667,218.6666667,16.87333333,0.274666667,0.353833333,188,74.33333333,145.6666667,0.002533333,0.002566667,25.892517,-97.49383,2014.666667,839,296.8600891,295.3423815,300.9538877,290.4427726,856.3333333,23.56500822,28.91657472,20.02068348,18.04494367,5745.666667,3706.333333,1514.333333,806.6666667,22,9,20,13,13,10,8,9,2014.666667,398.1469393,399.2970014,398.930378,398.4725489
2,26.073536,-80.33845,244.5,1278.5,151,256,20.585,0.4223,0.5442,157,121.5,172,0.00455,0.00305,26.073536,-80.33845,2015,22,297.3687491,296.0586967,299.6852615,294.585933,23.5,23.726957,30.21574905,17.03368948,15.20260684,7701,6479,329.5,112,22,9,20,13,13,10,8,9,2015,399.5654515,399.4106483,399.0793157,399.2732151
3,26.22621,-98.29107,4425,3817,100.2,279.6,20.452,0.24508,0.34424,230.2,76.6,124.2,0.00162,0.0034,26.22621,-98.29107,2018.4,798,297.578414,296.4129593,301.7511226,291.5957514,792.2,23.96703032,28.13095658,21.19055391,20.31284489,5145.6,2474.8,1661.8,1307.6,22,9,20,13,13,10,8,9,2018.4,405.4624791,407.0669907,406.7653354,406.2282077
4,26.270082,-81.71096,265,2690.333333,131,309.3333333,17.10666667,0.369033333,0.444866667,268,78.33333333,185,0.001333333,0.0009,26.270082,-81.71096,2017.333333,26,296.8503562,295.7585937,299.5634651,299.8148779,30,25.99028806,31.71557144,21.11795397,19.29393457,8628.666667,6613,792.3333333,336.3333333,22,9,20,13,13,10,8,9,2017.333333,404.3710626,404.315552,404.2680982,404.2141825
5,26.291088,-80.09635,242,1870.333333,114,330.6666667,13.28333333,0.2172,0.264166667,285.6666667,63.33333333,181.3333333,0.003266667,0.000533333,26.291088,-80.09635,2016,21,297.3123989,296.1585887,299.8278484,292.7654806,22.66666667,25.96943882,31.88925247,21.07195518,18.82138439,8681.666667,6259.666667,1024,356,25.33333333,9,23.33333333,13,13,10,8,9,2016,401.5707042,401.2985737,401.0933626,401.2263841
6,26.548212,-81.98152,349,1506.333333,137.6666667,286,22.47666667,0.281566667,0.3768,254.3333333,104.3333333,161.6666667,0.001433333,0.004,26.548212,-81.98152,2015.333333,41,297.0076682,295.4303775,299.9479964,293.0014999,47.66666667,29.18977404,35.04943939,25.09138937,23.28993481,11171.66667,8653,1059.666667,455.6666667,22,9,20,13,13,10,8,9,2015.333333,399.9380593,400.4653796,400.0569994,400.0912175
7,26.730833,-80.23389,401,1347,92,252,16.23,0.4515,0.5388,255,8,202,0.006,0.0005,26.730833,-80.23389,2015,53,297.8092076,296.1829863,300.2467387,289.6961661,65,23.47318428,28.21486726,18.95939675,17.63568376,5207,4257,561,200,22,9,20,13,13,10,8,9,2015,399.0050318,399.4500948,398.9504476,399.2243219
8,27.089193,-82.36258,255,1948,120,308,43.82,0.3556,0.4732,257,71,169,0.0035,0.0015,27.089193,-82.36258,2016,19,296.4633116,294.6518903,299.9483127,289.5755116,21,26.98450425,33.66785842,21.54318026,20.19064246,11104,8165,487,464,31,9,30,13,13,10,8,9,2016,402.2462672,402.2193607,401.6596067,401.8130227
9,27.189215,-81.34035,316,2525.666667,100.1111111,266.3333333,36.97,0.413244444,0.591677778,237.7777778,64.88888889,141.1111111,0.0052,0.003533333,27.189215,-81.34035,2017,34,296.5317469,295.692415,299.4094165,293.8089925,39.22222222,27.60389265,33.15127437,21.66319059,20.99560537,9204.444444,7339.222222,489.7777778,198,22,20,20,9,9,4,2,2,2017,403.4274801,404.1512978,403.1634299,403.3010444
