"year","springincrease5","springincrease3","springnochange","springdecrease3","springdecrease5","autumnincrease5","autumnincrease3","autumnnochange","autumndecrease3","autumndecrease5","summerincrease5","summerincrease3","summernochange","summerdecrease3","summerdecrease5","allincrease5","allincrease3","allnochange","alldecrease3","alldecrease5"
2023,122.748857946477,122.730463847958,122.71206974944,122.693675650922,122.675281552404,280.722695105872,280.749819706751,280.776944307631,280.804068908511,280.831193509391,0.295620361417015,0.296318697331663,0.29701703324631,0.297715369160957,0.298413705075604,28.8030360719048,28.8355652262206,28.8680943805365,28.9006235348524,28.9331526891683
2024,122.241213932335,122.204425735298,122.167637538262,122.130849341225,122.094061144189,279.965619121288,280.019868323048,280.074117524807,280.128366726567,280.182615928326,0.299446770627576,0.300843442456871,0.302240114286165,0.30363678611546,0.305033457944754,29.5873116521964,29.6523699608282,29.71742826946,29.7824865780917,29.8475448867235
2025,122.830780873038,122.775598577483,122.720416281929,122.665233986374,122.610051690819,279.805004823495,279.886378626135,279.967752428774,280.049126231413,280.130500034052,0.299768157792802,0.301863165536744,0.303958173280686,0.306053181024628,0.308148188768569,30.0017803290059,30.0993677919536,30.1969552549013,30.2945427178489,30.3921301807966
2026,122.547900529516,122.474324135443,122.40074774137,122.327171347297,122.253594953224,279.701249363674,279.809747767193,279.918246170712,280.026744574231,280.13524297775,0.309060165522521,0.31185350918111,0.314646852839699,0.317440196498288,0.320233540156877,30.2179524251154,30.3480690423789,30.4781856596424,30.608302276906,30.7384188941695
2027,121.840348498802,121.748378006211,121.656407513619,121.564437021028,121.472466528437,280.332259395042,280.467882399441,280.60350540384,280.739128408238,280.874751412637,0.317480721670261,0.320972401243498,0.324464080816734,0.32795576038997,0.331447439963206,31.5288614700812,31.6915072416606,31.85415301324,32.0167987848194,32.1794445563989
2028,122.194333817851,122.083969226742,121.973604635632,121.863240044523,121.752875453413,280.007594358572,280.170341963851,280.333089569129,280.495837174408,280.658584779686,0.316988138306174,0.321178153794058,0.325368169281941,0.329558184769825,0.333748200257708,31.7018944945121,31.8970694204074,32.0922443463027,32.287419272198,32.4825941980933
2029,122.89601238772,122.767253698092,122.638495008465,122.509736318837,122.380977629209,280.113461665553,280.303333871712,280.49320607787,280.683078284028,280.872950490186,0.3215158167287,0.326404168131231,0.331292519533761,0.336180870936292,0.341069222338823,32.0728995154549,32.3006035956661,32.5283076758773,32.7560117560885,32.9837158362997
2030,121.451767653921,121.304614865775,121.157462077629,121.010309289483,120.863156501337,281.123490131748,281.340486938786,281.557483745824,281.774480552862,281.9914773599,0.341115821713936,0.346702509031114,0.352289196348292,0.35787588366547,0.363462570982648,33.433330898937,33.6935641334641,33.9537973679912,34.2140306025182,34.4742638370453
2031,122.704857209417,122.539310322753,122.373763436089,122.208216549424,122.04266966276,280.611464416186,280.855585824104,281.099707232022,281.343828639939,281.587950047857,0.340016358676504,0.34630138190833,0.352586405140155,0.35887142837198,0.365156451603806,33.4574807650112,33.7502431538541,34.0430055426971,34.3357679315401,34.628530320383
2032,122.805698820511,122.621757835329,122.437816850146,122.253875864964,122.069934879781,280.640779873621,280.912025882418,281.183271891216,281.454517900013,281.72576390881,0.344080819281993,0.351064178428466,0.358047537574938,0.365030896721411,0.372014255867883,34.0905087013607,34.4158002445195,34.7410917876784,35.0663833308372,35.391674873996
