,year,AOT40_allincrease3%,AOT40_alldecrease3%,AOT40_all,AOT40_allincrease1.5%,AOT40_alldecrease1.5%
0,2023,11379.68846,10716.79398,11048.24122,11213.96484,10882.5176
1,2024,11711.13569,10385.34675,11048.24122,11379.68846,10716.79398
2,2025,12042.58293,10053.89951,11048.24122,11545.41207,10551.07037
3,2026,12374.03017,9722.452274,11048.24122,11711.13569,10385.34675
4,2027,12705.4774,9391.005037,11048.24122,11876.85931,10219.62313
5,2028,13036.92464,9059.5578,11048.24122,12042.58293,10053.89951
6,2029,13368.37188,8728.110564,11048.24122,12208.30655,9888.175892
7,2030,13699.81911,8396.663327,11048.24122,12374.03017,9722.452274
8,2031,14031.26635,8065.216091,11048.24122,12539.75378,9556.728655
9,2032,14362.71359,7733.768854,11048.24122,12705.4774,9391.005037
10,2033,14694.16082,7402.321617,11048.24122,12871.20102,9225.281419
11,2034,15025.60806,7070.874381,11048.24122,13036.92464,9059.5578
12,2035,15357.0553,6739.427144,11048.24122,13202.64826,8893.834182
13,2036,15688.50253,6407.979908,11048.24122,13368.37188,8728.110564
14,2037,16019.94977,6076.532671,11048.24122,13534.09549,8562.386945
15,2038,16351.39701,5745.085434,11048.24122,13699.81911,8396.663327
16,2039,16682.84424,5413.638198,11048.24122,13865.54273,8230.939709
17,2040,17014.29148,5082.190961,11048.24122,14031.26635,8065.216091
18,2041,17345.73872,4750.743725,11048.24122,14196.98997,7899.492472
19,2042,17677.18595,4419.296488,11048.24122,14362.71359,7733.768854
20,2043,18008.63319,4087.849251,11048.24122,14528.4372,7568.045236
21,2044,18340.08043,3756.402015,11048.24122,14694.16082,7402.321617
22,2045,18671.52766,3424.954778,11048.24122,14859.88444,7236.597999
23,2046,19002.9749,3093.507542,11048.24122,15025.60806,7070.874381
24,2047,19334.42214,2762.060305,11048.24122,15191.33168,6905.150762
25,2048,19665.86937,2430.613068,11048.24122,15357.0553,6739.427144
26,2049,19997.31661,2099.165832,11048.24122,15522.77891,6573.703526
27,2050,20328.76384,1767.718595,11048.24122,15688.50253,6407.979908
