,year,AOT40_allincrease3%,AOT40_alldecrease3%,AOT40_all,AOT40_allincrease1.5%,AOT40_alldecrease1.5%
0,2023,13101.59152,12338.39202,12719.99177,12910.79165,12529.19189
1,2024,13483.19128,11956.79226,12719.99177,13101.59152,12338.39202
2,2025,13864.79103,11575.19251,12719.99177,13292.3914,12147.59214
3,2026,14246.39078,11193.59276,12719.99177,13483.19128,11956.79226
4,2027,14627.99054,10811.993,12719.99177,13673.99115,11765.99239
5,2028,15009.59029,10430.39325,12719.99177,13864.79103,11575.19251
6,2029,15391.19004,10048.7935,12719.99177,14055.59091,11384.39263
7,2030,15772.78979,9667.193745,12719.99177,14246.39078,11193.59276
8,2031,16154.38955,9285.593992,12719.99177,14437.19066,11002.79288
9,2032,16535.9893,8903.994239,12719.99177,14627.99054,10811.993
10,2033,16917.58905,8522.394486,12719.99177,14818.79041,10621.19313
11,2034,17299.18881,8140.794733,12719.99177,15009.59029,10430.39325
12,2035,17680.78856,7759.19498,12719.99177,15200.39017,10239.59337
13,2036,18062.38831,7377.595227,12719.99177,15391.19004,10048.7935
14,2037,18443.98807,6995.995474,12719.99177,15581.98992,9857.993622
15,2038,18825.58782,6614.39572,12719.99177,15772.78979,9667.193745
16,2039,19207.18757,6232.795967,12719.99177,15963.58967,9476.393869
17,2040,19588.78733,5851.196214,12719.99177,16154.38955,9285.593992
18,2041,19970.38708,5469.596461,12719.99177,16345.18942,9094.794116
19,2042,20351.98683,5087.996708,12719.99177,16535.9893,8903.994239
20,2043,20733.58659,4706.396955,12719.99177,16726.78918,8713.194362
21,2044,21115.18634,4324.797202,12719.99177,16917.58905,8522.394486
22,2045,21496.78609,3943.197449,12719.99177,17108.38893,8331.594609
23,2046,21878.38584,3561.597696,12719.99177,17299.18881,8140.794733
24,2047,22259.9856,3179.997943,12719.99177,17489.98868,7949.994856
25,2048,22641.58535,2798.398189,12719.99177,17680.78856,7759.19498
26,2049,23023.1851,2416.798436,12719.99177,17871.58844,7568.395103
27,2050,23404.78486,2035.198683,12719.99177,18062.38831,7377.595227
