"year","springincrease5","springincrease3","springnochange","springdecrease3","springdecrease5","autumnincrease5","autumnincrease3","autumnnochange","autumndecrease3","autumndecrease5","summerincrease5","summerincrease3","summernochange","summerdecrease3","summerdecrease5","allincrease5","allincrease3","allnochange","alldecrease3","alldecrease5"
2023,114.584810019014,114.448532403703,114.312254788392,114.175977173081,114.03969955777,251.834998520833,251.887988066867,251.940977612901,251.993967158935,252.046956704969,0.482918159387438,0.482949356722909,0.482980554058381,0.483011751393852,0.483042948729323,43.3357876080416,43.3836553408786,43.4315230737156,43.4793908065526,43.5272585393896
2024,116.256138277419,115.983583046797,115.711027816174,115.438472585552,115.165917354929,248.370487750567,248.476466842635,248.582445934703,248.688425026771,248.794404118839,0.483030823676341,0.483093218347283,0.483155613018226,0.483218007689168,0.48328040236011,43.3975903832727,43.4933258489467,43.5890613146207,43.6847967802947,43.7805322459687
2025,115.085548357704,114.676715511771,114.267882665837,113.859049819903,113.45021697397,252.687818697584,252.846787335686,253.005755973787,253.164724611889,253.323693249991,0.483890749819707,0.483984341826121,0.484077933832535,0.484171525838948,0.484265117845362,43.5301413477714,43.6737445462824,43.8173477447934,43.9609509433043,44.1045541418153
2026,113.864733766244,113.319623305,112.774512843755,112.22940238251,111.684291921265,252.070642169056,252.282600353192,252.494558537327,252.706516721463,252.918474905599,0.484430930313985,0.48455571965587,0.484680508997755,0.48480529833964,0.484930087681525,43.7206944755431,43.9121654068911,44.103636338239,44.295107269587,44.4865782009349
2027,115.677886569063,114.996498492507,114.315110415951,113.633722339395,112.952334262839,249.48866063611,249.75360836628,250.018556096449,250.283503826619,250.548451556789,0.484715575937116,0.484871562614473,0.485027549291829,0.485183535969185,0.485339522646541,43.8500691522205,44.0894078164054,44.3287464805904,44.5680851447754,44.8074238089603
2028,116.097549585596,115.279883893729,114.462218201862,113.644552509994,112.826886818127,250.774476778186,251.09241405439,251.410351330594,251.728288606797,252.046225883001,0.485488275837223,0.485675459850051,0.485862643862878,0.486049827875706,0.486237011888533,43.8894713493347,44.1766777463567,44.4638841433786,44.7510905404006,45.0382969374225
2029,115.750912328096,114.796969020918,113.843025713739,112.889082406561,111.935139099382,252.624302532703,252.995229354941,253.366156177178,253.737082999416,254.108009821654,0.486000108246403,0.486218489594701,0.486436870943,0.486655252291299,0.486873633639597,44.1587725901561,44.493846720015,44.8289208498739,45.1639949797329,45.4990691095918
2030,114.844928747035,113.754707824546,112.664486902056,111.574265979566,110.484045057076,250.357007819685,250.780924187957,251.204840556229,251.6287569245,252.052673292772,0.486761332695626,0.487010911379396,0.487260490063166,0.487510068746936,0.487759647430706,44.1602481322184,44.5431899949143,44.9261318576103,45.3090737203062,45.6920155830021
2031,117.555633550486,116.329135012685,115.102636474884,113.876137937083,112.649639399282,252.374913516257,252.851819430563,253.328725344868,253.805631259174,254.28253717348,0.487057951072278,0.487338727091519,0.48761950311076,0.487900279130001,0.488181055149242,44.2947078601639,44.7255174556969,45.1563270512298,45.5871366467627,46.0179462422956
2032,112.583721903174,111.220945750062,109.85816959695,108.495393443838,107.132617290726,252.155739697672,252.685635158011,253.215530618351,253.74542607869,254.27532153903,0.488443182486031,0.488755155840743,0.489067129195455,0.489379102550168,0.48969107590488,44.4344197383655,44.9130970667354,45.3917743951053,45.8704517234752,46.3491290518451
2033,115.795294360882,114.296240592458,112.797186824035,111.298133055612,109.799079287188,249.587811225948,250.170696232321,250.753581238695,251.336466245068,251.919351251441,0.4884335940351,0.488776764725283,0.489119935415467,0.48946310610565,0.489806276795834,44.5482267053154,45.0747717665223,45.6013168277292,46.1278618889361,46.654406950143
2034,116.685386212257,115.050054828523,113.414723444788,111.779392061054,110.144060677319,252.927583098154,253.563457650561,254.199332202969,254.835206755376,255.471081307784,0.489780286289716,0.490154654315371,0.490529022341026,0.490903390366681,0.491277758392335,44.8492110210582,45.4236238151021,45.998036609146,46.5724494031899,47.1468621972338
2035,113.274723381235,111.503114382189,109.731505383143,107.959896384097,106.188287385051,252.411325961368,253.100190059809,253.789054158251,254.477918256692,255.166782355134,0.490171979084796,0.490577544445922,0.490983109807048,0.491388675168174,0.4917942405293,45.0883446484771,45.710625175358,46.3329057022388,46.9551862291197,47.5774667560006
2036,113.656954485787,111.74906787143,109.841181257073,107.933294642716,106.025408028359,250.504804456844,251.246658101319,251.988511745795,252.73036539027,253.472219034745,0.490531265459131,0.490968028155729,0.491404790852326,0.491841553548923,0.492278316245521,45.2637924084112,45.9339406681291,46.6040889278469,47.2742371875648,47.9443854472827
2037,113.214303637289,111.170139407621,109.125975177952,107.081810948284,105.037646718616,252.754082754126,253.548925944636,254.343769135145,255.138612325654,255.933455516163,0.491707957375299,0.492175917407367,0.492643877439436,0.493111837471504,0.493579797503573,45.4374333453919,46.1554493379468,46.8734653305016,47.5914813230565,48.3094973156113
2038,115.88450964866,113.70406780368,111.523625958701,109.343184113721,107.162742268742,253.574983331386,254.422816067929,255.270648804472,256.118481541015,256.966314277559,0.492627968180173,0.493127125547713,0.493626282915253,0.494125440282793,0.494624597650332,45.5542724227204,46.3201561481123,47.0860398735041,47.851923598896,48.6178073242878
2039,115.21099943511,112.894279974819,110.577560514528,108.260841054238,105.944121593947,250.373351353182,251.27417363576,252.174995918337,253.075818200914,253.976640483491,0.492975989128811,0.493506343831822,0.494036698534833,0.494567053237844,0.495097407940855,45.7938156765912,46.60756713482,47.4213185930488,48.2350700512777,49.0488215095065
2040,115.129223010849,112.676225935247,110.223228859645,107.770231784043,105.317234708441,253.844016271281,254.797828099892,255.751639928503,256.705451757115,257.659263585726,0.494747243304712,0.495308795343194,0.495870347381677,0.496431899420159,0.496993451458641,46.0052218807239,46.8668410717897,47.7284602628555,48.5900794539213,49.4516986449871
2041,113.885583229663,111.29630853875,108.707033847837,106.117759156924,103.528484466011,253.743807689283,254.750609063928,255.757410438573,256.764211813218,257.771013187863,0.494848068844898,0.495440818218851,0.496033567592805,0.496626316966758,0.497219066340712,46.2994834678207,47.2089703917235,48.1184573156264,49.0279442395292,49.937431163432
2042,115.650624987848,112.925072681624,110.1995203754,107.473968069175,104.748415762951,254.025707957027,255.085498877706,256.145289798385,257.205080719064,258.264871639743,0.496054389943203,0.496678336652628,0.497302283362052,0.497926230071477,0.498550176780902,46.4964225820981,47.4537772388379,48.4111318955777,49.3684865523175,50.3258412090574
2043,116.782660214679,113.920830293143,111.059000371608,108.197170450072,105.335340528537,255.141366105106,256.254146571819,257.366927038532,258.479707505245,259.592487971958,0.496809085139923,0.497464229184819,0.498119373229715,0.498774517274611,0.499429661319507,46.7236323996793,47.7288547892561,48.7340771788329,49.7392995684097,50.7445219579865
2044,115.333098508143,112.334990971296,109.33688343445,106.338775897603,103.340668360756,254.72747986368,255.893249876427,257.059019889174,258.224789901921,259.390559914668,0.497773455780236,0.498459797160603,0.49914613854097,0.499832479921338,0.500518821301705,47.0299674382819,48.0830575606957,49.1361476831095,50.1892378055233,51.242327927937
2045,115.307110106425,112.172724954267,109.038339802109,105.903954649951,102.769569497793,254.961054041448,256.179813600229,257.39857315901,258.617332717791,259.836092276572,0.49884350190289,0.499561040618728,0.500278579334567,0.500996118050405,0.501713656766244,47.2295650865335,48.3305229417843,49.4314807970351,50.5324386522859,51.6333965075367
2046,115.709687557336,112.439024789867,109.168362022397,105.897699254928,102.627036487459,253.151291230092,254.423040334907,255.694789439721,256.966538544536,258.238287649351,0.499494108230452,0.500242844281762,0.500991580333072,0.501740316384382,0.502489052435691,47.520837415948,48.6696630040358,49.8184885921236,50.9673141802113,52.1161397682991
2047,116.693237036771,113.28629665399,109.87935627121,106.472415888429,103.065475505649,254.132763194283,255.457501845132,256.782240495981,258.10697914683,259.431717797679,0.500537649196956,0.501317582583737,0.502097515970518,0.502877449357299,0.50365738274408,47.6686683433014,48.8653616642261,50.0620549851509,51.2587483060757,52.4554416270004
2048,116.540437894059,112.997219895968,109.454001897876,105.910783899785,102.367565901693,257.596632569254,258.974360766136,260.352088963019,261.729817159902,263.107545356785,0.50229361187061,0.503104742592862,0.503915873315114,0.504727004037366,0.505538134759618,48.0634923805617,49.3080534343235,50.5526144880852,51.797175541847,53.0417365956087
2049,113.586995243283,109.90749962988,106.228004016477,102.548508403075,98.8690127896719,255.726842669109,257.157560412026,258.588278154943,260.01899589786,261.449713640776,0.502566905166998,0.503409233224721,0.504251561282445,0.505093889340168,0.505936217397892,48.4391586094993,49.731587396098,51.0240161826968,52.3164449692955,53.6088737558943
2050,113.483987801009,109.668214572295,105.852441343581,102.036668114867,98.220894886153,255.638580692866,257.122287981817,258.605995270767,260.089702559718,261.573409848669,0.504296030733841,0.505169556127035,0.50604308152023,0.506916606913425,0.507790132306619,48.6980387320592,50.0383352514949,51.3786317709306,52.7189282903663,54.0592248098021
