,year,AOT40_allincrease3%,AOT40_alldecrease3%,AOT40_all,AOT40_allincrease1.5%,AOT40_alldecrease1.5%
0,2023,57148.7431,53819.6901,55484.2166,56316.47985,54651.95335
1,2024,58813.2696,52155.1636,55484.2166,57148.7431,53819.6901
2,2025,60477.79609,50490.63711,55484.2166,57981.00635,52987.42685
3,2026,62142.32259,48826.11061,55484.2166,58813.2696,52155.1636
4,2027,63806.84909,47161.58411,55484.2166,59645.53285,51322.90035
5,2028,65471.37559,45497.05761,55484.2166,60477.79609,50490.63711
6,2029,67135.90209,43832.53111,55484.2166,61310.05934,49658.37386
7,2030,68800.42858,42168.00462,55484.2166,62142.32259,48826.11061
8,2031,70464.95508,40503.47812,55484.2166,62974.58584,47993.84736
9,2032,72129.48158,38838.95162,55484.2166,63806.84909,47161.58411
10,2033,73794.00808,37174.42512,55484.2166,64639.11234,46329.32086
11,2034,75458.53458,35509.89862,55484.2166,65471.37559,45497.05761
12,2035,77123.06107,33845.37213,55484.2166,66303.63884,44664.79436
13,2036,78787.58757,32180.84563,55484.2166,67135.90209,43832.53111
14,2037,80452.11407,30516.31913,55484.2166,67968.16534,43000.26786
15,2038,82116.64057,28851.79263,55484.2166,68800.42858,42168.00462
16,2039,83781.16707,27187.26613,55484.2166,69632.69183,41335.74137
17,2040,85445.69356,25522.73964,55484.2166,70464.95508,40503.47812
18,2041,87110.22006,23858.21314,55484.2166,71297.21833,39671.21487
19,2042,88774.74656,22193.68664,55484.2166,72129.48158,38838.95162
20,2043,90439.27306,20529.16014,55484.2166,72961.74483,38006.68837
21,2044,92103.79956,18864.63364,55484.2166,73794.00808,37174.42512
22,2045,93768.32605,17200.10715,55484.2166,74626.27133,36342.16187
23,2046,95432.85255,15535.58065,55484.2166,75458.53458,35509.89862
24,2047,97097.37905,13871.05415,55484.2166,76290.79782,34677.63537
25,2048,98761.90555,12206.52765,55484.2166,77123.06107,33845.37213
26,2049,100426.432,10542.00115,55484.2166,77955.32432,33013.10888
27,2050,102090.9585,8877.474656,55484.2166,78787.58757,32180.84563
