,year,AOT40_allincrease3%,AOT40_alldecrease3%,AOT40_all,AOT40_allincrease1.5%,AOT40_alldecrease1.5%
0,2023,10166.1,9573.9,9870,10018.05,9721.95
1,2024,10462.2,9277.8,9870,10166.1,9573.9
2,2025,10758.3,8981.7,9870,10314.15,9425.85
3,2026,11054.4,8685.6,9870,10462.2,9277.8
4,2027,11350.5,8389.5,9870,10610.25,9129.75
5,2028,11646.6,8093.4,9870,10758.3,8981.7
6,2029,11942.7,7797.3,9870,10906.35,8833.65
7,2030,12238.8,7501.2,9870,11054.4,8685.6
8,2031,12534.9,7205.1,9870,11202.45,8537.55
9,2032,12831,6909,9870,11350.5,8389.5
10,2033,13127.1,6612.9,9870,11498.55,8241.45
11,2034,13423.2,6316.8,9870,11646.6,8093.4
12,2035,13719.3,6020.7,9870,11794.65,7945.35
13,2036,14015.4,5724.6,9870,11942.7,7797.3
14,2037,14311.5,5428.5,9870,12090.75,7649.25
15,2038,14607.6,5132.4,9870,12238.8,7501.2
16,2039,14903.7,4836.3,9870,12386.85,7353.15
17,2040,15199.8,4540.2,9870,12534.9,7205.1
18,2041,15495.9,4244.1,9870,12682.95,7057.05
19,2042,15792,3948,9870,12831,6909
20,2043,16088.1,3651.9,9870,12979.05,6760.95
21,2044,16384.2,3355.8,9870,13127.1,6612.9
22,2045,16680.3,3059.7,9870,13275.15,6464.85
23,2046,16976.4,2763.6,9870,13423.2,6316.8
24,2047,17272.5,2467.5,9870,13571.25,6168.75
25,2048,17568.6,2171.4,9870,13719.3,6020.7
26,2049,17864.7,1875.3,9870,13867.35,5872.65
27,2050,18160.8,1579.2,9870,14015.4,5724.6
