,lat,lon,Date_Mid_Greenup_Phase_1_aot40_r
598,26.4214,111.6156,-0.8946572193420119
1408,40.3663,-80.6158,-0.8708787826661367
601,27.0803,114.9754,-0.828472453052846
505,27.5721,109.5981,-0.8265938019284721
650,28.7728,104.6201,-0.8012620652642554
502,28.1322,113.0178,-0.7990017098374445
379,30.6319,114.135,-0.7806089865256702
507,27.2272,111.4328,-0.7717506515691436
190,31.2124,107.4644,-0.7698465385609301
284,33.5039,119.135,-0.7646303305962392
131,33.6128,114.6613,-0.7635911020040842
508,28.1308,112.8908,-0.7628615638944174
669,29.4251,113.1493,-0.7524769704824907
466,31.4,119.46,-0.751416210322647
558,29.7535,116.0721,-0.7472205773281709
527,27.8914,102.237,-0.7428939300960778
591,36.61763,114.5129,-0.7353617944861174
476,46.7432,82.9994,-0.7312741176417377
579,30.0003,120.5483,-0.730325804567372
273,37.7541,115.6838,-0.7258646961977498
89,34.1978,108.985,-0.7169574504059887
292,37.8692,112.5369,-0.7100186895615399
253,47.3086,130.2684,-0.7077544312427222
165,35.7609,115.0574,-0.7003472458958274
329,31.3008,121.467,-0.6993406785545897
468,47.8517,88.1264,-0.6967452086563192
392,39.0343,117.707,-0.6877812630269903
448,31.172,120.658,-0.6840607018702619
43,36.1017,114.3551,-0.6793210402436323
174,42.8172,93.5128,-0.6786749714693312
1309,45.56498,-88.80859,-0.6756221939380629
491,43.941,81.3364,-0.6745767545086149
1427,39.52508,-119.80772,-0.673652614973966
603,32.4535,105.8945,-0.664502806601169
453,26.567,101.7227,-0.6632583712956577
138,30.2313,115.0601,-0.6561246081549053
541,27.7044,111.9892,-0.654673845854115
427,30.6465,111.3549,-0.6530540764401084
438,27.8336,113.251,-0.6485765257907306
64,40.6821,109.8538,-0.6467631821971719
1300,33.43395,-84.16181,-0.6401545002601539
154,32.8605,115.8554,-0.6312411795687749
1420,35.158688,-78.728035,-0.6267054369380732
1269,44.351696,-68.22698,-0.6225320102058953
191,31.8896,102.2502,-0.6186786966611504
408,27.0968,115.0093,-0.6179830066667638
500,30.2798,109.4707,-0.6178825437094673
175,42.8328,93.4961,-0.617353369889439
609,23.7256,109.2203,-0.6157435850218722
1393,33.578335,-86.77389,-0.6145825084090661
551,33.015,114.0114,-0.6043381747510566
1325,44.08747,-75.97316,-0.6024108307267454
852,42.432356,25.637389,-0.5993831656925941
51,30.7856,106.1064,-0.5976754083225339
1077,43.21291,-3.1344,-0.5961431418704656
87,34.2322,108.8922,-0.5960436340367042
694,54.124819,22.038056,-0.5937512032604646
1213,50.676856,17.950278,-0.5920264311084592
878,43.293137,5.574184,-0.5912132397549315
821,45.1758,7.5602,-0.5897308187432807
739,49.357861,6.73354,-0.5896263579522188
630,27.9119,112.9074,-0.5877116805983372
473,26.6272,118.1756,-0.5876356778065042
