,lat,lon,EVI2_Onset_Greenness_Maximum_1_aot40_r
1218,51.028931,7.004976,-0.9956948216107366
1235,40.3597,-3.5429,-0.984843089836306
1456,31.954287,-84.08101,-0.9839599826599924
1217,53.24696,10.4565,-0.9791130656823308
592,34.1781,117.1694,-0.9652049650877694
1146,49.514959,8.402331,-0.9515009007753696
137,32.9771,113.9976,-0.951182750039626
1123,45.714444,11.368611,-0.9485674328528584
46,34.7965,114.2885,-0.9478648264708328
1092,48.19223,14.51954,-0.939074065150632
21,41.3094,123.7169,-0.932246403645498
550,30.3714,114.8989,-0.927604890949224
1232,49.15167,-0.352778,-0.9206079403968644
1044,53.064262,14.285139,-0.9200921765902554
1184,51.525955,6.97688,-0.9194624982739236
1124,45.690278,9.643889,-0.8973248917409612
644,37.4658,118.5019,-0.8969701958197596
463,31.909,120.237,-0.8930029311675313
254,45.1722,124.7965,-0.8923673127189693
636,23.4714,116.7519,-0.8899925596824827
1009,55.79216,-3.2429,-0.8896726195306126
1049,50.877923,12.0749,-0.8864509975109206
576,38.4842,106.2757,-0.8862059694834674
879,41.53583,20.6989,-0.8848051737072631
1417,41.705227,-76.512726,-0.8814879070827837
1164,43.675114,4.62921,-0.8766910952289304
528,26.5892,104.8,-0.8739514213167526
442,36.7729,119.1936,-0.8702979987358965
167,30.4742,114.9028,-0.8702453453546546
362,40.7866,111.5512,-0.8689508962308602
766,45.848333,11.569167,-0.8675791977488698
466,31.4,119.46,-0.8673611126985001
658,29.4875,106.4782,-0.8670195879099291
313,31.7848,117.1959,-0.8665633658572292
433,32.0931,118.6414,-0.8650981715926358
1201,41.15604,15.09675,-0.8647769887858964
1121,50.85205095,4.347777506,-0.8643913379072085
387,39.6334,118.1725,-0.8629857505299813
670,28.687,115.8518,-0.862968331044825
432,29.7228,106.6263,-0.8589064852487434
305,39.9041,119.5251,-0.8571834074800084
920,49.869422,9.171544,-0.8513172055399292
716,49.94498825,17.90953064,-0.8494140953217979
1053,50.125332,8.746343,-0.8473097602136174
1448,34.264915,-88.76622,-0.8408413718193517
946,48.930932,21.913705,-0.8307399109308647
183,31.7275,113.3583,-0.8261725034815515
1048,43.5589,-5.9275,-0.8248378954071512
1191,48.445553,0.110833,-0.8234615918981215
864,42.90056,13.33667,-0.8185689187350725
519,30.1383,104.6295,-0.8137291725742789
1051,46.2311,6.07417,-0.8135118477065965
649,28.793,104.6055,-0.8123906167460113
1447,40.74529,-73.41919,-0.8103649722951164
949,50.81487387,3.322494319,-0.808973686255404
223,39.3617,112.4575,-0.8053478586787621
121,36.4847,117.8525,-0.8050968653828646
1230,49.28222,4.051111,-0.8036243517041212
388,38.0178,114.5331,-0.8029282877799923
1105,59.399355,18.077416,-0.7980216674628385
5,47.3227,123.9483,-0.7970705921659752
647,36.8406,118.0253,-0.793803343726651
436,28.9703,111.6975,-0.791022442532065
605,27.2442,111.5283,-0.7865170866538889
221,35.4897,112.8676,-0.7864760565710753
1012,46.137222,9.385,-0.7833007741924783
1386,41.81305,-88.07283,-0.780835341630448
1203,40.71099,14.70244,-0.7790058118517823
60,41.0971,122.9642,-0.774288153869684
422,32.0023,118.7752,-0.7732683343192973
344,34.2761,117.179,-0.7719761027794477
861,46.765425,23.550258,-0.7711709057994276
1388,37.70097,-94.03474,-0.7709581544034253
536,23.4835,111.2711,-0.7699560208789245
888,46.58389,0.345556,-0.7693832937096226
1062,51.321364,12.032141,-0.768607689999183
381,39.8863,116.4072,-0.7632094983752528
332,45.6842,126.6206,-0.762971987842131
431,29.8253,106.4213,-0.7617865609948129
885,51.407365,5.393328,-0.7611846021816172
228,37.6982,112.6991,-0.7609752774570548
1143,52.411563,-1.560228,-0.7607187491675016
1390,38.65643,-90.19835,-0.758530340032286
1034,43.66028,11.90167,-0.7580268300237879
0,39.8784,116.3621,-0.7564386894059355
530,31.2827,107.5277,-0.7559526960692569
582,29.5462,103.7723,-0.7542736272414511
909,49.41123199,14.67638874,-0.7535970280972286
554,22.5545,114.1063,-0.7531535636561857
1041,51.462734,13.526796,-0.7522844374460502
615,37.6828,112.7195,-0.7521997579936693
1198,51.067439,19.448694,-0.7517970103930278
951,47.4387,8.57012,-0.7517326075895348
24,41.2664,123.7992,-0.7504734427883577
296,40.8336,114.8883,-0.7482748269115485
1346,39.4125,-107.23056,-0.7479560444629738
598,26.4214,111.6156,-0.7474883872623153
1163,45.5476,9.16698,-0.7474789857435948
1001,47.73344,12.891241,-0.7454446707345687
606,27.3033,111.5239,-0.7404213188332056
31,34.3017,107.0708,-0.740210184343238
940,48.248993,16.357079,-0.7385832816222339
932,43.322554,21.919025,-0.7378129311523355
668,26.5161,106.694,-0.7371859827074886
13,46.6215,124.9042,-0.7359730986354902
1195,50.0075,20.259167,-0.7358229499069744
259,47.3388,130.3114,-0.7347755704562536
1057,52.349703,13.424304,-0.7340513149343562
424,33.774,113.182,-0.7340016042843965
575,30.4576,106.6303,-0.7339884209549539
1221,43.4015,-5.8028,-0.733770758929134
809,45.83611,8.80417,-0.7330910862416556
950,50.46519216,3.939714326,-0.7330539179412393
1114,51.45258,0.070766,-0.7293823926777936
302,30.558,114.2529,-0.7266893559821602
273,37.7541,115.6838,-0.7238005547517626
825,48.04944444,14.44277778,-0.7232741144037
1061,50.048397,10.232076,-0.7220629440865638
1130,51.47707,0.317969,-0.7193542531026641
82,43.8711,87.5525,-0.7186822900277688
501,26.2081,111.6217,-0.7186004232424155
948,46.6775,12.972,-0.7179913925772984
698,49.77012634,13.36822128,-0.7179285506204373
889,50.74823,2.25978,-0.7131141367093823
1450,43.34317,-87.92087,-0.7130776227507354
721,45.916943,6.135556,-0.7117740523519204
970,51.698954,7.122684,-0.7113467428201568
210,42.2217,123.7153,-0.70715712665667
671,45.499167,12.262222,-0.7039629981040729
1135,52.22174,-2.736665,-0.7009119203244433
717,43.404011,21.947746,-0.6989250734307995
1411,34.623238,-82.53206,-0.6985338985646368
1189,46.1625,12.360833,-0.6983770756850878
351,32.4639,119.888,-0.6958528712009477
1357,42.14175,-80.03861,-0.6941021314496861
1226,46.586918,0.358583,-0.6920236975651293
778,45.54301186,13.71352366,-0.6889953968009854
989,53.63074,10.110595,-0.6875815842487433
465,31.737,119.579,-0.6874992606317203
521,30.5944,114.3014,-0.6847662841160898
790,46.835,14.84361111,-0.6842365818315624
634,36.6428,101.748,-0.6840839523964904
1423,35.43477,-83.44213,-0.682836511891585
165,35.7609,115.0574,-0.6826369426998802
537,23.7233,114.6892,-0.6814503965553643
543,29.315,110.4417,-0.6808281470865091
1266,36.0388,-85.7331,-0.6786330945112126
1080,50.970024,9.80026,-0.6785587440886964
567,26.0746,119.317,-0.6777106626884789
222,39.3522,112.4397,-0.6757571622379877
1152,50.349608,18.236575,-0.6715117645661572
719,47.27476,4.099476,-0.6710075207799514
1106,50.84971052,4.33410368,-0.6707671912578534
960,51.25210341,4.491362028,-0.6687335273955886
745,40.41666666,-0.24916666,-0.6681918910722582
607,29.2956,117.2461,-0.6674029818683705
702,60.37288,11.07407,-0.6667801297078223
443,49.2261,119.7594,-0.665938067719015
740,45.474156,28.034406,-0.6654993243876904
151,30.9743,118.7385,-0.6654897787216076
890,47.2225,-1.5375,-0.6635897111007055
401,28.793,104.563,-0.6627699030753036
1088,42.05134069,0.729555647,-0.661430669739713
268,30.6764,104.1419,-0.659094267978513
1245,33.81468,-80.781136,-0.6577296829060701
632,22.5311,113.0219,-0.6546164688334561
150,33.5699,114.051,-0.6539161236434764
1369,43.176674,-85.41661,-0.6489595768845428
525,37.5072,122.1067,-0.6471067675493133
379,30.6319,114.135,-0.6444123309777283
793,47.06701111,15.49368889,-0.6438010083925488
1150,51.799722,16.3175,-0.6436927673217332
862,51.921389,4.401389,-0.6428545339727749
1030,50.5976,-3.71651,-0.6400697667766245
155,31.737,116.5079,-0.6396380004671743
1393,33.578335,-86.77389,-0.6363194636640724
232,37.5211,111.1406,-0.635978584070789
1431,40.73614,-73.82153,-0.6354659430408308
208,41.2495,123.1683,-0.6338736324151737
57,31.1317,104.3826,-0.6314179282956364
261,46.6191,131.1652,-0.6312655213149243
1280,41.420883,-82.095726,-0.6311944782406292
400,27.0999,114.9658,-0.6308012091202689
753,42.33611,-3.63611,-0.6302395608895958
986,46.802376,4.417486,-0.6292366135544563
256,45.3001,130.9762,-0.6287256848024824
1047,51.862042,6.874469,-0.6273031369238177
1334,43.05235,-76.05921,-0.6245239110665216
1122,43.867496,18.423061,-0.623602023059905
1147,52.115725,21.237297,-0.6235910492733061
1180,56.15976,10.19364,-0.6227008009402549
1096,51.838221,5.856938,-0.6222726893292067
574,38.497,106.1015,-0.6220111926180526
968,50.889871,6.985074,-0.6218977301076734
270,37.7124,112.469,-0.621122787130039
1350,42.51831,-89.06347,-0.6201871058203018
20,41.8611,124.0436,-0.619707882556348
1157,47.594913,7.568175,-0.6192586476882761
1013,49.276386,2.482167,-0.619072134421628
1319,39.866833,-88.92559,-0.6183684673360049
868,47.739919,26.658519,-0.6180683794673656
375,43.8772,125.3716,-0.6173836666185663
1174,52.077148,4.289185,-0.6170395984482345
929,51.897598,14.057064,-0.6164141360270271
883,50.736389,15.739722,-0.616237860074114
851,43.126475,25.691211,-0.6104988431322319
399,29.4572,106.3754,-0.6087348029834243
25,41.3472,123.8142,-0.6083315661867
931,50.12218857,14.46757793,-0.6075641506267405
89,34.1978,108.985,-0.6051315047459984
1067,51.651166,12.302866,-0.6036508755762136
53,30.3544,112.2008,-0.6026114056319283
484,35.546,112.8453,-0.6011392085811965
925,52.99875,11.73846,-0.6005862136357533
871,54.436985,12.721938,-0.5996306150748218
548,28.9666,118.8709,-0.5988106061075942
780,46.58967,11.43317,-0.5970209338653281
1286,36.02661,-80.341965,-0.5920455529938544
584,41.7173,125.9358,-0.5907095728689877
195,33.1138,107.0089,-0.589674266609129
