,lat,lon,EVI2_Onset_Greenness_Maximum_1_co2_r
536,23.4835,111.2711,-0.9823961131583596
598,26.4214,111.6156,-0.9634052474480748
550,30.3714,114.8989,-0.9559704033589608
436,28.9703,111.6975,-0.9496645757072486
636,23.4714,116.7519,-0.9444181864184
655,30.5767,104.0594,-0.9371689262134952
316,31.7964,117.3027,-0.9280990181881066
54,31.4535,104.7563,-0.9257626053368092
519,30.1383,104.6295,-0.9256592060106212
332,45.6842,126.6206,-0.9235583359097094
607,29.2956,117.2461,-0.9052807443748176
82,43.8711,87.5525,-0.8943559291218132
65,40.6288,109.8642,-0.89182598928385
313,31.7848,117.1959,-0.8887220994906926
199,30.2756,118.1371,-0.8859213133834742
428,30.7819,111.3275,-0.8615746854717571
362,40.7866,111.5512,-0.8508775974306307
287,33.9592,118.2442,-0.8489378067318796
367,45.7733,126.689,-0.8472496519176584
569,26.8906,100.2203,-0.844245019088916
446,27.6434,113.8385,-0.8407441347952626
549,28.9398,118.8692,-0.8398367350311073
442,36.7729,119.1936,-0.8200399607226437
593,33.3663,120.1544,-0.8047089786683252
230,35.0303,110.9686,-0.8021192907477576
605,27.2442,111.5283,-0.7940068319813137
403,27.1312,114.99,-0.7912054200368684
576,38.4842,106.2757,-0.7892817803060498
580,30.4519,114.8858,-0.7864498099923826
35,34.3617,108.7233,-0.7716184259186254
344,34.2761,117.179,-0.7703389194060205
4,47.3386,123.9488,-0.7598026317780471
562,22.2281,113.299,-0.7597628423394454
528,26.5892,104.8,-0.755679607134469
668,26.5161,106.694,-0.7528476166368573
92,38.5036,106.1358,-0.7504977319458545
575,30.4576,106.6303,-0.7428264539942283
623,33.5828,114.0138,-0.7322897287912146
57,31.1317,104.3826,-0.725916120217009
604,25.8481,114.9461,-0.7233685693352611
376,43.8463,125.2841,-0.7209824434199789
352,32.1875,119.6707,-0.720494218476566
147,30.9891,112.1969,-0.7178985112549737
282,30.1808,120.0883,-0.7066705283990306
401,28.793,104.563,-0.6995403795034721
456,29.7178,118.327,-0.6966243045392764
171,35.5307,106.7021,-0.6878177192524912
1057,52.349703,13.424304,-0.6848434918816937
90,36.1031,103.631,-0.684621174720025
292,37.8692,112.5369,-0.6832217472906713
865,50.978292,10.317236,-0.6808508581837895
422,32.0023,118.7752,-0.6773276453548296
1209,50.912475,15.31219,-0.6706209111517052
1217,53.24696,10.4565,-0.6676976575885403
603,32.4535,105.8945,-0.6668306242743253
1001,47.73344,12.891241,-0.6651717140900306
55,31.4668,104.6697,-0.6646477344418179
117,36.4372,115.9848,-0.6617557231144955
1092,48.19223,14.51954,-0.6594886694830977
513,25.0992,104.8811,-0.6585246579170453
900,66.3217,29.40157,-0.6557311438531847
787,49.50504,5.97694,-0.6526811570010643
788,47.541944,19.146122,-0.6512278424506991
1166,41.04,21.3564,-0.6502351103548482
800,45.655,10.20083,-0.6488199981393242
504,26.4364,111.5992,-0.6455457818137631
274,38.3254,116.8584,-0.643153884509997
619,30.9413,117.7807,-0.6423064276309299
1157,47.594913,7.568175,-0.6396752381039694
1148,45.1619,5.7356,-0.6360047279368145
223,39.3617,112.4575,-0.6347470679581579
722,49.40619,1.15515,-0.6290644575346308
479,27.7019,106.9242,-0.6255667512697742
433,32.0931,118.6414,-0.6240821011297883
323,33.575,119.007,-0.6238709145016759
379,30.6319,114.135,-0.6235903963433065
423,32.0754,118.7997,-0.6186242346141232
725,49.02134,1.148319,-0.6177433672613603
685,48.85731,7.314175,-0.615331483197583
238,50.2472,127.5291,-0.6069370708456455
236,32.8977,117.3145,-0.6010630446651266
823,45.1763,7.7116,-0.598396387380702
883,50.736389,15.739722,-0.5972191375122394
330,31.6219,120.275,-0.592099570555379
767,44.013056,12.42,-0.5912102919490854
1068,47.145014,23.877389,-0.5858492033275229
47,35.2127,113.2269,-0.5826551338317985
743,58.370556,26.734722,-0.5799372809919393
967,53.480927,9.857223,-0.579552404025684
1140,50.68352509,14.04119492,-0.5782441739610443
584,41.7173,125.9358,-0.5758434349946637
867,51.207944,10.450997,-0.5742386247802824
178,44.2967,86.0497,-0.5720732425639377
432,29.7228,106.6263,-0.5714469199460992
215,40.761,107.4212,-0.5710757138680769
53,30.3544,112.2008,-0.5704225293476793
879,41.53583,20.6989,-0.5688179309211358
1331,41.058617,-74.25555,-0.5678370092310419
842,47.091111,17.901122,-0.5647497930970247
1384,42.334984,-89.03777,-0.5603391946339756
413,28.7199,104.5742,-0.5592519051740154
514,28.6842,115.9314,-0.5592227735564033
1315,42.139996,-87.799225,-0.5591838560516501
793,47.06701111,15.49368889,-0.558984570094952
810,47.4885583,12.066633,-0.5574868328895413
983,41.947654,12.533667,-0.5502830624376772
1344,41.84046,-72.01037,-0.5499038444021538
616,38.0378,114.5481,-0.5484962088220587
1034,43.66028,11.90167,-0.5462432578692339
418,28.2642,117.0564,-0.544178772166424
595,34.4285,115.6702,-0.5435166189220839
836,44.79361,10.33167,-0.5434917824474755
974,49.841221,7.866222,-0.541551944418138
797,46.7675,15.956111,-0.5396052738670538
1168,43.79306,11.09778,-0.5377183193093344
760,47.594257,1.302667,-0.5376213579508504
777,46.13111418,14.99611517,-0.5359348965262649
1129,51.49633,-0.460861,-0.5358241408789366
1413,41.094967,-85.101814,-0.5354187284734668
255,45.6077,122.7911,-0.5338015350293722
763,46.17,1.87,-0.5336714548962036
1191,48.445553,0.110833,-0.5330605954868155
1221,43.4015,-5.8028,-0.5312383346531483
882,51.60308,4.781016,-0.5298639936748637
667,26.6027,106.7109,-0.5279973718731171
1015,48.17278,6.452811,-0.5252808897972024
1189,46.1625,12.360833,-0.5207693560316643
1238,40.6646,-3.7739,-0.5175022745226009
1339,38.8577,-77.05922,-0.5159704216800592
972,46.934128,26.38925,-0.5142444889985314
721,45.916943,6.135556,-0.5119683654449322
844,64.244226,19.767238,-0.5088673450915014
1175,46.329586,-0.458889,-0.5083695573174508
28,34.6886,112.494,-0.508085482010119
233,37.5136,111.1297,-0.5053333447492321
1321,40.72099,-74.192894,-0.5038306484459928
1049,50.877923,12.0749,-0.5034061589427978
1014,50.32276,3.39593,-0.4993517834126208
885,51.407365,5.393328,-0.4989691035820758
34,34.3622,107.2386,-0.4934089685358327
495,28.1944,113.0014,-0.4929129382448839
650,28.7728,104.6201,-0.4921264699923198
477,29.2617,117.1547,-0.4917097689868464
475,29.3867,117.3102,-0.4912564253773522
890,47.2225,-1.5375,-0.491206305984114
441,29.5102,106.5777,-0.491002299057222
408,27.0968,115.0093,-0.4898408964723515
13,46.6215,124.9042,-0.4852681332501596
738,45.431539,28.054742,-0.4826763279774406
527,27.8914,102.237,-0.47840381020395
331,31.5475,120.354,-0.4777863483689036
817,47.8055556,13.043333,-0.4771448717756025
1011,43.91611,11.00694,-0.4771201895644674
1262,36.085506,-83.76481,-0.4753160387896594
807,47.410164,9.653713,-0.4744550013340175
754,49.744886,21.454617,-0.4734928033954656
1199,43.650722,25.363583,-0.4719282606317
1426,30.848612,-85.60389,-0.4699693701687539
260,47.3382,130.1097,-0.4682352028067102
1051,46.2311,6.07417,-0.4673197375438653
1273,39.70595,-79.012,-0.4664023157569657
794,65.04338,25.4979,-0.4646512934566182
217,39.3278,112.4072,-0.4644947076915971
302,30.558,114.2529,-0.4639146949490357
510,26.9056,112.5664,-0.4637937842961852
132,33.6347,114.6758,-0.4626925002440814
1103,47.4029,8.6134,-0.4616713839799772
363,40.8062,111.7276,-0.460724042322515
1398,27.939747,-82.000084,-0.4602117049167697
532,27.725,111.9975,-0.4599907329031445
1392,38.71085,-90.47606,-0.4598114214048339
661,35.4828,112.8271,-0.4595439794603151
511,26.8919,112.6006,-0.4584402591256351
796,48.1061111,15.91944444,-0.4578255490895179
1236,42.44,-2.239,-0.4571779994440466
410,27.9831,116.3544,-0.457173302286001
189,31.1986,107.5082,-0.4551276123925584
1098,51.15013609,3.80873543,-0.4548500860859534
309,36.0658,120.4134,-0.4529838571110055
978,44.865555,-0.939444,-0.4528024466058786
982,50.892377,14.822846,-0.448288832063669
700,43.610497,2.23015,-0.4476511990647407
172,42.9418,89.1904,-0.4474646971015418
1159,49.851334,3.284,-0.4451808042705957
1295,41.6175,-87.199165,-0.4447066503971343
1053,50.125332,8.746343,-0.4441458918132128
166,31.0386,112.2213,-0.4436520851302916
826,45.1546,7.658,-0.4435421682699665
1163,45.5476,9.16698,-0.437684563318416
635,23.691,113.0426,-0.4366976190276193
601,27.0803,114.9754,-0.4335387671484841
