,lat,lon,Date_Mid_Senescence_Phase_1_o3_r
1151,51.939783,15.518861,-0.9921955224831418
1450,43.34317,-87.92087,-0.9866058330325296
203,43.9311,116.0781,-0.960363483605825
1114,51.45258,0.070766,-0.955154953600135
388,38.0178,114.5331,-0.9500623292738396
502,28.1322,113.0178,-0.9427579500855164
1082,50.16443,9.399441,-0.9400389044038804
1209,50.912475,15.31219,-0.9333154730936304
364,38.9511,121.565,-0.9306403575006214
586,35.7668,115.0,-0.9246968272583168
201,30.5119,117.0331,-0.924642643825093
376,43.8463,125.2841,-0.9179325234376896
1210,47.068717,21.927233,-0.9160528246365028
305,39.9041,119.5251,-0.9153903779207486
70,40.0625,124.3303,-0.9152576918390464
394,39.1661,117.1444,-0.9113854344741208
271,37.0851,114.5237,-0.9088853798705864
1051,46.2311,6.07417,-0.8963896221420912
328,31.1654,121.412,-0.8918117472305522
660,36.1851,120.3905,-0.8905433174364173
1158,51.748103,18.04931,-0.8829825514732369
935,50.88369465,4.382977505,-0.8819725863393783
992,47.538193,6.868361,-0.8799112918238747
395,39.1082,117.237,-0.8789733875218516
115,34.7837,117.2852,-0.878697062864597
802,49.119442,6.180833,-0.8777446816148123
396,39.6506,118.1705,-0.8772817380702386
642,24.7733,113.5824,-0.8771174102086168
1279,39.9428,-81.3373,-0.8742930629461623
1205,39.48963,16.3868,-0.873934048849761
900,66.3217,29.40157,-0.8662571535269658
436,28.9703,111.6975,-0.8604493663563854
1436,28.332226,-82.30564,-0.8604187669893113
282,30.1808,120.0883,-0.8581013811302824
1162,45.96141,4.465711,-0.8567357192780293
47,35.2127,113.2269,-0.8565595194758829
764,45.869995,1.31,-0.854855977770477
630,27.9119,112.9074,-0.8487826073710157
198,32.6939,109.0281,-0.8458574643334488
393,39.0927,117.202,-0.8443437868748572
403,27.1312,114.99,-0.8434875532633445
101,36.2125,113.0886,-0.8388129995374107
1449,27.946688,-82.731766,-0.8367704609955637
591,36.61763,114.5129,-0.8358629453731726
496,26.5939,104.89,-0.8347814825786604
420,28.1136,116.9822,-0.8346865450333248
676,49.224167,4.020556,-0.8328889436312444
280,40.9763,117.9392,-0.8294733942134024
15,43.8245,126.5052,-0.8249645805581868
1109,54.334944,-0.80855,-0.8212232216696407
1347,37.71325,-119.7062,-0.8210787136491933
1100,50.85671305,4.425760659,-0.8200295185549237
1035,41.554167,14.674722,-0.8191511183756013
447,31.388,120.953,-0.8155576677326317
635,23.691,113.0426,-0.8115168687425095
434,29.4758,113.2621,-0.8054946232058712
1249,36.306965,-79.09197,-0.8035079588789633
159,30.6618,117.47,-0.7981814699373225
1167,44.92008,2.441082,-0.7974665830669205
1067,51.651166,12.302866,-0.7938594038471113
212,41.5646,120.4521,-0.7931725390840361
343,32.1028,118.9125,-0.7920508068550994
1195,50.0075,20.259167,-0.7876106224719709
580,30.4519,114.8858,-0.787232909791978
1451,33.9828,-111.79871,-0.7845281406344699
91,38.4975,106.2328,-0.7819535205470293
988,47.34414,0.653778,-0.7794981532252587
1008,45.42009,4.395422,-0.778250033372958
347,32.0745,118.7794,-0.77529984346252
375,43.8772,125.3716,-0.7750465910281444
103,37.4236,122.1214,-0.7677939470008626
1198,51.067439,19.448694,-0.7645619125716027
661,35.4828,112.8271,-0.7631743747595204
853,41.694342,24.738078,-0.7614212240845567
461,32.6524,117.0067,-0.7586019594134858
671,45.499167,12.262222,-0.7583541673978775
61,41.0931,123.011,-0.7497358824334956
315,31.8571,117.25,-0.749147851148238
631,27.8614,112.9433,-0.7476915082052791
438,27.8336,113.251,-0.746676561046025
92,38.5036,106.1358,-0.7421415206966542
1017,53.187222,-6.121667,-0.7421184255886011
1092,48.19223,14.51954,-0.738270923738373
67,40.7094,122.2703,-0.7381237021669239
83,34.3731,109.2186,-0.7378404251964028
545,36.0621,114.4839,-0.7378344918025497
470,26.2714,117.635,-0.7358367772266544
1230,49.28222,4.051111,-0.7353307108493837
119,37.393,117.9776,-0.7352317940875298
951,47.4387,8.57012,-0.7325037289879197
63,41.1196,123.044,-0.7322764028819172
1234,50.44914,2.9,-0.731028331344133
323,33.575,119.007,-0.7299012650583839
312,31.3019,120.591,-0.729082320599538
1023,47.44739,-0.550067,-0.7290487991827795
578,39.1067,117.1941,-0.7289640143962541
1139,50.66109467,14.04306316,-0.7276720218625269
1080,50.970024,9.80026,-0.7254022924367491
1400,30.439722,-84.34639,-0.7250476568718688
293,37.7394,112.5583,-0.7245225185518299
1435,41.49212,-81.67845,-0.7242066469740287
68,40.6511,122.215,-0.7212534677953251
384,40.135,116.6636,-0.7207967369907997
1355,39.80933,-80.26567,-0.7179515460913849
453,26.567,101.7227,-0.7176819447812627
157,31.7905,116.4996,-0.7166960845941969
433,32.0931,118.6414,-0.7166949820600936
942,45.55879167,18.69876944,-0.7150105079247558
560,34.343,106.0055,-0.714709306221073
118,37.3803,118.0062,-0.7137261980885641
1072,49.634841,9.657919,-0.712168248293951
313,31.7848,117.1959,-0.7113238022839857
1133,49.07655,8.40666,-0.709188069885634
589,41.0385,113.1076,-0.7090996783611522
1315,42.139996,-87.799225,-0.7089623829629456
503,26.2331,111.6236,-0.7072301375369536
189,31.1986,107.5082,-0.7068475327269381
1239,45.248889,10.299444,-0.7064475026131009
369,45.8167,126.561,-0.7057824770102029
628,34.5023,109.4259,-0.7052417358110636
640,29.6815,115.9872,-0.7041504555612866
408,27.0968,115.0093,-0.7012502282350278
1175,46.329586,-0.458889,-0.7004437095457294
306,39.9499,119.5897,-0.7002651336999001
1088,42.05134069,0.729555647,-0.7001809550154299
780,46.58967,11.43317,-0.6986131234596913
489,36.881,118.746,-0.6972077600504728
1453,32.41281,-86.2634,-0.6965555704759893
1103,47.4029,8.6134,-0.6950035104663195
1331,41.058617,-74.25555,-0.6940716517444045
1264,35.10264,-85.16219,-0.6927078273822145
1226,46.586918,0.358583,-0.6921543375527148
573,30.4663,106.6271,-0.691986866112116
45,34.7781,114.3389,-0.6915893166553102
39,35.8735,120.0405,-0.6910453923953588
246,33.9477,116.7856,-0.6908265538366438
916,48.397079,10.008293,-0.6894885120705653
659,36.0855,111.5018,-0.6893832144834132
106,37.8731,113.4894,-0.6887702043726169
1452,40.27813,-105.54564,-0.6887612193582099
725,49.02134,1.148319,-0.6867933758745373
757,43.15333,-4.25306,-0.686751183446912
17,41.0821,123.022,-0.68604659497553
1148,45.1619,5.7356,-0.6839709823113858
96,35.2464,115.4208,-0.681874242563422
1448,34.264915,-88.76622,-0.6796060373065063
911,50.11108017,14.50309563,-0.6757680793241934
297,36.3083,120.3999,-0.6749807593608852
1429,40.689255,-122.40219,-0.6739687807396085
177,39.4467,76.0072,-0.6723957227891276
1001,47.73344,12.891241,-0.6721056621738334
603,32.4535,105.8945,-0.671632800998996
105,37.8572,113.5758,-0.671613629287329
275,38.2991,116.8842,-0.6710160174056846
648,28.3611,112.9581,-0.6705400549412591
501,26.2081,111.6217,-0.6680153825233331
720,47.3456,5.002377,-0.6678524372784003
168,37.9956,106.1856,-0.6660732613331244
281,37.8873,112.5139,-0.665735297782594
551,33.015,114.0114,-0.6651821689735959
958,47.0495,6.97915,-0.662007673552495
1011,43.91611,11.00694,-0.6602364964055645
947,48.33472,16.729445,-0.6592032184798959
1192,42.40538,1.13,-0.6562461049858446
348,32.0551,118.7538,-0.655317678616148
893,45.7789,4.9247,-0.6501091947737005
463,31.909,120.237,-0.6496272086478693
76,40.7514,120.8392,-0.648584855512267
243,32.9673,117.3533,-0.6470235011007767
444,25.2697,110.2819,-0.646835922300272
161,35.7511,114.2956,-0.6462563594494779
117,36.4372,115.9848,-0.6435353653576185
890,47.2225,-1.5375,-0.6434752075478115
555,31.7231,118.5228,-0.6418880065209688
1395,33.545277,-86.549164,-0.6414638435624578
257,45.3039,130.9429,-0.6413330420001698
337,31.3097,120.669,-0.6412807016287677
267,46.8028,130.2751,-0.6382653257417944
58,30.8064,106.056,-0.6374150036447411
330,31.6219,120.275,-0.6369372819155988
884,59.20243,9.4871,-0.6308079052569215
1022,50.775482,3.12568,-0.6303374001613465
907,49.40159607,15.6102457,-0.6298409337138688
1231,46.34072,2.593945,-0.6290014772667435
1445,35.988277,-77.5843,-0.628785898744353
258,47.3416,130.2537,-0.6286754104016521
483,38.5167,102.1692,-0.6285500690240012
587,31.9996,118.7356,-0.6272523083042011
94,35.0888,118.3956,-0.6271934872121324
912,50.04613113,14.33141327,-0.6269910817555101
227,37.7067,112.7249,-0.6269294231546065
692,47.660056,9.485675,-0.6269121570800594
1119,45.623056,13.7875,-0.625518769770407
699,49.45165634,17.45415878,-0.6253846934067911
688,45.1828,5.7531,-0.6251975371710341
22,43.8622,126.54,-0.6248301128529756
354,41.7653,123.4114,-0.6225226839947087
539,28.3169,109.7325,-0.6214399211797239
976,45.56472,5.928333,-0.6200339232219707
993,47.62,6.157611,-0.6194789968642105
1439,39.310833,-76.47444,-0.6180792698453944
325,33.5981,119.036,-0.6145591018203341
667,26.6027,106.7109,-0.6134362007594828
943,47.05917,15.016667,-0.6132287614369688
419,30.3119,120.1197,-0.6099452566878159
391,38.8394,117.457,-0.6087893359320632
222,39.3522,112.4397,-0.6067806487233747
389,38.0058,114.4586,-0.6062680843307855
1430,38.85287,-77.63462,-0.6055163613942222
938,56.672901,12.8576,-0.6045287181582748
982,50.892377,14.822846,-0.6034059095770015
626,34.3497,107.2058,-0.6012357667684489
197,38.2839,109.7289,-0.5985279342617812
302,30.558,114.2529,-0.5983370681619782
1431,40.73614,-73.82153,-0.5968116950969773
452,24.5058,118.0936,-0.5961370366335851
533,30.5366,105.5861,-0.5951974505531413
1428,30.260279,-81.45361,-0.5943000323535422
77,40.7677,120.8695,-0.5941471550721988
128,36.1937,117.1437,-0.5937149897145515
1324,40.283092,-74.742615,-0.5937027921410013
429,36.0022,106.2792,-0.5901459875894465
1086,50.13577,8.92157,-0.5887797175635836
458,31.381,120.999,-0.5881004646240863
54,31.4535,104.7563,-0.5878442050797458
730,45.683333,9.466667,-0.5873196008122953
160,35.9019,114.17,-0.5858770851398428
269,39.6973,106.8174,-0.5853031771031361
963,49.462229,11.0248,-0.5852042293744449
1328,41.05192,-73.76366,-0.5850217953296059
435,29.355,113.2117,-0.584769956757782
1003,48.77586,5.162789,-0.5840966684803581
711,49.04781723,18.00782776,-0.5828839300624203
342,32.1065,118.8086,-0.5818343742663867
87,34.2322,108.8922,-0.5818247350809818
607,29.2956,117.2461,-0.5807442271653807
26,41.0879,121.1115,-0.5801231245895629
761,47.751475,23.605325,-0.5792245853529918
657,29.8279,106.3787,-0.5784483232028417
339,32.0005,120.86,-0.5766615673914949
448,31.172,120.658,-0.5753248955630191
1073,48.507703,9.051178,-0.5746470378002358
1116,51.34879529,4.339709947,-0.5738405727658994
1378,42.474644,-70.97082,-0.5736366500476043
351,32.4639,119.888,-0.5728514165385673
230,35.0303,110.9686,-0.5702587844066441
387,39.6334,118.1725,-0.5657952171358115
1062,51.321364,12.032141,-0.5650682557853042
830,48.733256,19.115268,-0.5642075596727582
693,43.30277777,-1.98444444,-0.5636847657615018
143,32.6494,110.78,-0.5630008674223839
228,37.6982,112.6991,-0.5624973820999525
664,34.6692,112.3628,-0.5624842202157742
75,40.7136,120.9092,-0.5622739055758481
901,48.68817,6.190431,-0.5614785937080651
180,36.1911,113.1569,-0.5609823526807881
621,27.583,110.0394,-0.5592059204640906
666,26.5424,106.674,-0.5586441033327875
1093,49.107502,6.122775,-0.5576991676030714
694,54.124819,22.038056,-0.5573955782276369
754,49.744886,21.454617,-0.5562244936695431
1416,39.28102,-78.08157,-0.5547915880536188
261,46.6191,131.1652,-0.5546383038344638
1289,35.379166,-82.7925,-0.554028141245842
192,33.8715,109.9154,-0.5536328712760843
194,33.0706,107.0154,-0.553183194009887
708,43.09625,-0.040497,-0.5520095345055201
914,52.146264,14.638166,-0.5499955730939343
1161,50.876983,18.416878,-0.5496962063887039
1110,53.40337,-1.752006,-0.5494938113948178
1038,45.696736,27.211622,-0.548156967052869
449,31.155,120.636,-0.5465885913602322
504,26.4364,111.5992,-0.5463735344193905
1054,40.62984,-3.17159,-0.5447366324772601
915,44.4122,8.1695,-0.5402775498226614
549,28.9398,118.8692,-0.5400692422579509
352,32.1875,119.6707,-0.5383710112901806
19,41.8822,123.9161,-0.5382281678326502
164,35.7636,115.0312,-0.5375065551132818
122,36.8194,118.3092,-0.5373875492716751
78,36.229,117.6795,-0.5354944157806978
944,47.04472222,15.15277778,-0.5351830568785256
204,38.8411,105.6985,-0.5351191818843278
446,27.6434,113.8385,-0.5300184441080069
422,32.0023,118.7752,-0.5292567768963147
614,32.1873,119.4424,-0.5277516045766678
1024,47.054443,-0.886111,-0.5258270317655408
796,48.1061111,15.91944444,-0.5226560806736851
892,44.926111,10.370833,-0.5224066393196408
113,35.4216,119.523,-0.5223630826621455
171,35.5307,106.7021,-0.5203939194212864
611,36.5482,104.1465,-0.5202984419076823
287,33.9592,118.2442,-0.5190173839345492
142,32.395,111.0419,-0.5189628676575655
165,35.7609,115.0574,-0.5181349081451225
239,46.6365,126.9785,-0.5179389037502026
606,27.3033,111.5239,-0.5178415977894077
1360,40.107224,-74.882225,-0.5178042615490251
923,51.054558,12.141322,-0.5170958780860196
156,31.7643,116.4738,-0.5168699374338253
682,47.809892,7.764528,-0.5163788855808689
1089,48.12027778,14.878333,-0.5150579095948192
221,35.4897,112.8676,-0.5115746775566422
1309,45.56498,-88.80859,-0.5115601212319144
437,27.9153,113.0048,-0.5109687820119535
488,43.9174,81.2996,-0.5108611025042005
744,43.34639,-4.06417,-0.5101473236806183
158,33.8518,115.7789,-0.5091523748274703
346,32.0309,118.8109,-0.5089271644969037
372,38.8661,121.5213,-0.5087911647568042
926,52.644169,13.483079,-0.5085561987247111
74,41.1489,122.0303,-0.5085321244039368
535,28.19,112.9394,-0.5078253690984552
733,48.051117,7.011114,-0.506208879912762
625,33.4022,120.118,-0.5059009106696503
163,35.303,113.883,-0.5048144560044995
416,28.2264,117.0222,-0.5045089987029703
869,47.913256,7.908035,-0.5044176480894331
712,52.029194,23.149389,-0.5028786181272326
450,37.197,122.038,-0.5026935335053245
409,27.7844,114.3956,-0.5012914921335039
383,39.9611,116.2878,-0.4997792346070734
929,51.897598,14.057064,-0.4996623111769681
1144,42.58194,12.62361,-0.4984294826764869
1190,49.784339,22.756239,-0.4980739520271498
675,48.962223,4.36,-0.4964978461473117
946,48.930932,21.913705,-0.4954050697981386
336,31.2472,120.561,-0.4944929403238993
1387,33.317142,-86.82575,-0.4942013398225648
245,32.633,116.8281,-0.4921194379241235
1105,59.399355,18.077416,-0.4908121573504372
1166,41.04,21.3564,-0.4898734916536635
464,31.354,119.818,-0.489865144446615
309,36.0658,120.4134,-0.4854386112035212
590,37.9844,106.2025,-0.4836131454916004
44,36.0681,114.361,-0.481700520716573
913,50.08148193,14.4426918,-0.4814505762877508
350,31.7069,119.9468,-0.4807679048403108
125,37.5639,121.2514,-0.4805133493271875
107,37.8486,113.5819,-0.4783442664800093
210,42.2217,123.7153,-0.4777533712853896
1362,41.265556,-75.84639,-0.477730686778764
517,27.5578,109.9972,-0.4768615389032112
556,29.5698,115.9773,-0.4761270860140985
903,50.37658691,13.32762241,-0.4745898355523298
215,40.761,107.4212,-0.4736241381942936
681,48.847917,10.096292,-0.4727080721755363
887,52.039023,4.359376,-0.4724173318867275
34,34.3622,107.2386,-0.4719224828963897
1085,46.541047,24.559642,-0.4711508616360975
1159,49.851334,3.284,-0.4697393528906054
674,50.007629,18.455548,-0.4690478021592925
568,38.8959,115.5213,-0.4673753092672265
600,26.5917,104.83,-0.4659898336970719
224,39.3197,112.4258,-0.4650691585717226
1002,53.37287,-3.022722,-0.4646192054232781
722,49.40619,1.15515,-0.4644746924583852
583,41.7347,123.2444,-0.4641915893291717
776,46.651838,16.196777,-0.4639133351794117
