,lat,lon,Date_Mid_Greenup_Phase_1_o3_r
250,50.2524,127.4833,-0.885252446867857
613,30.7525,120.7846,-0.8848895771398626
1408,40.3663,-80.6158,-0.8836720555995325
105,37.8572,113.5758,-0.8796615744851967
507,27.2272,111.4328,-0.8734996436956848
1414,40.046665,-76.28333,-0.8595364845937525
865,50.978292,10.317236,-0.8592938015745124
650,28.7728,104.6201,-0.8574910703793076
579,30.0003,120.5483,-0.8432603426684036
558,29.7535,116.0721,-0.8397851486566296
505,27.5721,109.5981,-0.8349534082987878
1131,46.112775,24.22805,-0.8321403782972817
89,34.1978,108.985,-0.8193851562289518
974,49.841221,7.866222,-0.8158949575685062
1049,50.877923,12.0749,-0.8023173814875116
1181,50.30886,2.807369,-0.800960365745885
138,30.2313,115.0601,-0.7981686387658566
591,36.61763,114.5129,-0.7973610071956453
453,26.567,101.7227,-0.7919472841067713
165,35.7609,115.0574,-0.7912229323320012
468,47.8517,88.1264,-0.7769553548166395
389,38.0058,114.4586,-0.7767510053070414
72,40.1461,124.3933,-0.7766687779894133
427,30.6465,111.3549,-0.7720606793998326
605,27.2442,111.5283,-0.7707993610003434
1206,45.238642,19.835704,-0.7578628246857542
949,50.81487387,3.322494319,-0.7548466603959592
1226,46.586918,0.358583,-0.7504984737510267
598,26.4214,111.6156,-0.7501367002452125
190,31.2124,107.4644,-0.7471317142672329
31,34.3017,107.0708,-0.743955305503296
967,53.480927,9.857223,-0.7425191600515956
853,41.694342,24.738078,-0.7406266760382832
448,31.172,120.658,-0.7370238295966811
989,53.63074,10.110595,-0.7210626473715062
379,30.6319,114.135,-0.7163630713777319
601,27.0803,114.9754,-0.7156832544775555
42,34.6258,112.4267,-0.710742325679956
476,46.7432,82.9994,-0.7094583492954067
603,32.4535,105.8945,-0.7060920914744198
405,28.7562,104.639,-0.704734006521785
1431,40.73614,-73.82153,-0.6896741005063977
976,45.56472,5.928333,-0.6872205906122645
292,37.8692,112.5369,-0.6839977172700762
1428,30.260279,-81.45361,-0.6767287927192489
937,57.8634,11.9216,-0.6766714752062977
549,28.9398,118.8692,-0.6758646375553014
113,35.4216,119.523,-0.6750877772489636
669,29.4251,113.1493,-0.6711940084899864
1427,39.52508,-119.80772,-0.6669017785842026
158,33.8518,115.7789,-0.649320904441268
432,29.7228,106.6263,-0.6447570263999457
354,41.7653,123.4114,-0.6425042661911473
1353,40.56333,-78.919975,-0.6424688980716505
969,51.453459,6.86505,-0.6397031856485136
166,31.0386,112.2213,-0.6394054246864347
527,27.8914,102.237,-0.636624012382683
878,43.293137,5.574184,-0.6355923063213315
675,48.962223,4.36,-0.6355646072959285
1013,49.276386,2.482167,-0.633625723513198
499,34.77172,113.73961,-0.6314002333692336
1220,43.25811,-2.97344,-0.6307783818820935
40,32.1059,114.1099,-0.6292261493678156
1300,33.43395,-84.16181,-0.6265919622220986
698,49.77012634,13.36822128,-0.6076471117466327
139,30.2006,115.0817,-0.6053460054832795
392,39.0343,117.707,-0.6049994834076511
1269,44.351696,-68.22698,-0.6045681140617571
1406,41.644066,-83.54616,-0.6039157600907791
502,28.1322,113.0178,-0.6027796624634345
541,27.7044,111.9892,-0.6022196066791716
991,47.2474,6.015419,-0.6004608604460254
1391,39.749027,-86.18627,-0.5993486300191968
1070,48.889039,8.665536,-0.5972451055045697
925,52.99875,11.73846,-0.5964611372417027
731,45.0419,7.6259,-0.5944619599844142
329,31.3008,121.467,-0.5937564484983898
1033,45.038333,9.669167,-0.5920443225218592
933,46.401944,13.011111,-0.5918861859796658
413,28.7199,104.5742,-0.5908336577967582
904,50.78944397,14.08679867,-0.5894686686420517
1213,50.676856,17.950278,-0.5878264939458615
608,27.5444,109.9453,-0.5858353382449702
1309,45.56498,-88.80859,-0.5851906253035773
508,28.1308,112.8908,-0.5829443398771723
438,27.8336,113.251,-0.5823331610762461
307,30.6189,114.282,-0.5810475838842901
55,31.4668,104.6697,-0.5803135030610636
931,50.12218857,14.46757793,-0.5766168110695313
408,27.0968,115.0093,-0.5749182912040429
2,43.8306,126.555,-0.5739361040077937
985,49.351124,8.423,-0.5690769742122004
32,34.3672,107.1906,-0.5680368394110153
684,50.010575,19.949189,-0.5673872005685233
1419,41.645382,-70.89751,-0.5660689111968876
333,45.7478,126.593,-0.561292121848054
14,31.6837,118.5092,-0.5590874700819385
84,30.6306,104.1122,-0.5585798218051125
815,49.028057,2.750278,-0.5577404215483903
421,27.8246,114.9231,-0.557484435447468
284,33.5039,119.135,-0.5542916686274996
995,53.56414,9.967882,-0.5538724417402929
533,30.5366,105.5861,-0.5476339874761004
