,lat,lon,EVI2_Onset_Greenness_Maximum_1_o3_r
1146,49.514959,8.402331,-0.9961549352695028
1235,40.3597,-3.5429,-0.9954759321199766
1218,51.028931,7.004976,-0.9953836961649378
1147,52.115725,21.237297,-0.9859128258511428
576,38.4842,106.2757,-0.9821030928740886
1201,41.15604,15.09675,-0.9724531229773072
1417,41.705227,-76.512726,-0.9697469023911476
1217,53.24696,10.4565,-0.9677474171488782
1196,44.938125,26.044994,-0.965708332815713
879,41.53583,20.6989,-0.9600919366360576
1088,42.05134069,0.729555647,-0.9584216932677856
1203,40.71099,14.70244,-0.955875360042348
1049,50.877923,12.0749,-0.9457107419325776
46,34.7965,114.2885,-0.943410725896941
668,26.5161,106.694,-0.9431074044876958
550,30.3714,114.8989,-0.9378581749261576
1044,53.064262,14.285139,-0.9367231146037952
780,46.58967,11.43317,-0.93591080975436
1434,43.68578,-74.98538,-0.934979442482589
716,49.94498825,17.90953064,-0.9328711691966822
1232,49.15167,-0.352778,-0.9264500890427556
1193,42.39197569,2.842138412,-0.9209007362392674
1191,48.445553,0.110833,-0.9200892544933372
463,31.909,120.237,-0.917629283730609
1448,34.264915,-88.76622,-0.9168488194675982
254,45.1722,124.7965,-0.9160188840817576
1447,40.74529,-73.41919,-0.9152216816516856
259,47.3388,130.3114,-0.911093206941332
137,32.9771,113.9976,-0.9070585390949472
717,43.404011,21.947746,-0.9037904843726536
869,47.913256,7.908035,-0.9020049729042952
575,30.4576,106.6303,-0.9017451131497836
897,60.22393,25.10244,-0.9006341427338365
1092,48.19223,14.51954,-0.8946898833038323
1034,43.66028,11.90167,-0.8943199621671466
1390,38.65643,-90.19835,-0.8938544607876743
528,26.5892,104.8,-0.8937376836758573
1230,49.28222,4.051111,-0.8898493668306819
957,47.0674,8.46333,-0.8865790176464914
682,47.809892,7.764528,-0.8838639165245532
828,43.9275,12.224722,-0.8825448433558412
519,30.1383,104.6295,-0.8820055105192711
501,26.2081,111.6217,-0.880929251515046
536,23.4835,111.2711,-0.8785697723225473
1184,51.525955,6.97688,-0.876611077023702
759,45.84083,9.34889,-0.875594958820027
766,45.848333,11.569167,-0.8680635001770798
622,39.2474,117.7918,-0.8651641232503813
210,42.2217,123.7153,-0.864010667044102
167,30.4742,114.9028,-0.8628335207778761
582,29.5462,103.7723,-0.859939728004746
779,45.93766834,13.91156335,-0.8556500073848187
1180,56.15976,10.19364,-0.851963407843537
864,42.90056,13.33667,-0.8505833109578114
1121,50.85205095,4.347777506,-0.8500493400701787
934,47.5292,9.9267,-0.8454981772386988
1065,48.947611,13.420573,-0.8454553571703491
783,41.669172,13.674326,-0.8449498195393893
433,32.0931,118.6414,-0.8413606343465981
332,45.6842,126.6206,-0.8386277492196851
344,34.2761,117.179,-0.8384231076637724
1456,31.954287,-84.08101,-0.8341639592459041
920,49.869422,9.171544,-0.8311692965745625
285,40.8033,111.6572,-0.8285752190317837
1163,45.5476,9.16698,-0.8281275198382063
466,31.4,119.46,-0.8275286215549459
150,33.5699,114.051,-0.8237430603439442
208,41.2495,123.1683,-0.8217739345108164
647,36.8406,118.0253,-0.8209618768206752
223,39.3617,112.4575,-0.8205806903964512
151,30.9743,118.7385,-0.8196308907556209
1051,46.2311,6.07417,-0.8193706851788518
1388,37.70097,-94.03474,-0.8192046798180143
909,49.41123199,14.67638874,-0.8190571030861425
313,31.7848,117.1959,-0.8181780745988546
1431,40.73614,-73.82153,-0.8168235356622705
1164,43.675114,4.62921,-0.816467975555088
605,27.2442,111.5283,-0.8162111910253416
1012,46.137222,9.385,-0.8149501916759173
387,39.6334,118.1725,-0.812269488278071
1205,39.48963,16.3868,-0.8014150789551334
183,31.7275,113.3583,-0.8008657159678864
1082,50.16443,9.399441,-0.8004490391756681
958,47.0495,6.97915,-0.7991387156818032
666,26.5424,106.674,-0.7984526837790468
1308,42.5956,-87.88576,-0.7972452651144347
698,49.77012634,13.36822128,-0.7962344644828476
949,50.81487387,3.322494319,-0.7959488527278099
525,37.5072,122.1067,-0.7901480434689814
989,53.63074,10.110595,-0.7884877483511135
1041,51.462734,13.526796,-0.7884536949444566
431,29.8253,106.4213,-0.7869287127366661
574,38.497,106.1015,-0.7840366803663389
305,39.9041,119.5251,-0.7798944610955088
636,23.4714,116.7519,-0.77892983486176
871,54.436985,12.721938,-0.777844630702385
951,47.4387,8.57012,-0.776857158778374
432,29.7228,106.6263,-0.7767445901044054
1047,51.862042,6.874469,-0.7763816773016218
649,28.793,104.6055,-0.7752202952137845
1391,39.749027,-86.18627,-0.7734675743791326
1009,55.79216,-3.2429,-0.7724512238772401
851,43.126475,25.691211,-0.769936563264025
302,30.558,114.2529,-0.7695653993627919
634,36.6428,101.748,-0.7686169502061971
1189,46.1625,12.360833,-0.766229707707824
381,39.8863,116.4072,-0.7660316198400241
885,51.407365,5.393328,-0.7620713218948371
221,35.4897,112.8676,-0.7617534637094229
868,47.739919,26.658519,-0.7608466635435035
592,34.1781,117.1694,-0.7594150427419062
1062,51.321364,12.032141,-0.755456541030474
982,50.892377,14.822846,-0.7542491014749979
999,44.98375,26.015214,-0.7530839661958649
73,40.1092,124.3633,-0.7529776905383363
1124,45.690278,9.643889,-0.7503937108013993
1134,45.736694,21.250808,-0.74878209131613
543,29.315,110.4417,-0.7470797909068916
401,28.793,104.563,-0.7448518080456347
883,50.736389,15.739722,-0.7430420350806025
1130,51.47707,0.317969,-0.7404686475548191
388,38.0178,114.5331,-0.7396832478374543
82,43.8711,87.5525,-0.7353704858988772
351,32.4639,119.888,-0.7328792713709789
1003,48.77586,5.162789,-0.7326732981951608
721,45.916943,6.135556,-0.7311381358893356
228,37.6982,112.6991,-0.7298931054527588
296,40.8336,114.8883,-0.7288196161774785
273,37.7541,115.6838,-0.7248200909446106
1386,41.81305,-88.07283,-0.7239323227423758
222,39.3522,112.4397,-0.7236418257062314
538,28.2675,109.6958,-0.7188590633030733
809,45.83611,8.80417,-0.718452666370685
946,48.930932,21.913705,-0.7184126889432998
954,67.878588,21.062962,-0.7182391863018297
970,51.698954,7.122684,-0.7157140895955
1057,52.349703,13.424304,-0.7152379083951899
687,45.183611,11.311389,-0.7146341823820943
120,36.8103,118.0414,-0.7125399666531322
906,46.08253,10.95804,-0.7123026215067751
1150,51.799722,16.3175,-0.7118818300857926
1077,43.21291,-3.1344,-0.7115946002062615
1331,41.058617,-74.25555,-0.7111203242138
902,45.038831,24.298631,-0.7082942771128323
1199,43.650722,25.363583,-0.7069834450171261
865,50.978292,10.317236,-0.704951025643134
653,29.6277,106.6556,-0.7013183676904535
1123,45.714444,11.368611,-0.7007841756542659
422,32.0023,118.7752,-0.6964712596198646
931,50.12218857,14.46757793,-0.6933147392573555
877,46.256617,26.792892,-0.6913126359511623
1425,40.304695,-79.50567,-0.6900208682977961
1096,51.838221,5.856938,-0.6895240164841859
399,29.4572,106.3754,-0.6883094647343536
303,36.5713,114.4918,-0.6865002990217673
850,42.637192,23.243864,-0.6862321500709809
348,32.0551,118.7538,-0.6850491621765546
1116,51.34879529,4.339709947,-0.6850026071100248
1442,32.52127,-84.94463,-0.6837815771676713
1157,47.594913,7.568175,-0.6821757289594702
644,37.4658,118.5019,-0.6818325673346918
917,47.72514,10.306561,-0.6810706175806238
670,28.687,115.8518,-0.679454810839989
290,37.9854,112.549,-0.6779801289810766
1450,43.34317,-87.92087,-0.6764514709460641
685,48.85731,7.314175,-0.6757600495967641
1037,49.83918762,18.26368904,-0.6749092632957997
