,lat,lon,EVI2_Growing_Season_Area_1_temp_r
1221,43.4015,-5.8028,-0.9912789579964596
1150,51.799722,16.3175,-0.9825530795094156
1178,40.39472222,-3.73194444,-0.9230695427959256
724,43.32074,-3.11272,-0.915737654505041
1113,54.97825,-1.610528,-0.9139046090244508
1175,46.329586,-0.458889,-0.8926601117240003
1202,42.284,21.2738,-0.8885345888580769
1214,45.297325,27.949461,-0.863142107514246
1016,42.42212,12.109196,-0.859708911812982
715,43.6287,0.179069,-0.8467612467049644
1025,40.67354965,22.89343834,-0.8323087795664323
672,52.420319,16.877289,-0.8284639287704477
1139,50.66109467,14.04306316,-0.8282881371155302
1435,41.49212,-81.67845,-0.8074716999889356
1283,35.9359,-81.5306,-0.8032874660690129
1237,41.9356664,2.238568301,-0.8020731738941834
1399,32.362606,-88.27799,-0.8016461275659267
1076,47.3868,8.53981,-0.7954227027640408
1240,53.371306,-2.239218,-0.7846635334709937
1187,43.285,13.42861,-0.7836225595518787
1152,50.349608,18.236575,-0.7669991694447429
1147,52.115725,21.237297,-0.7654246529062622
1444,45.25928,-122.58815,-0.7611274160744566
1031,45.226667,11.665833,-0.7419249054351239
1138,52.401352,13.059945,-0.7327882298193149
1161,50.876983,18.416878,-0.7254377179238447
1348,34.454514,-94.143524,-0.7223409810919674
727,47.651725,23.570508,-0.7213343363941731
1156,43.40444,-3.84194,-0.7209397665693982
872,50.654066,10.769534,-0.7116126644737023
1010,53.56292,-1.510436,-0.7082551943188155
1428,30.260279,-81.45361,-0.7012638349605227
1223,47.0677,8.30068,-0.7005346222093748
1236,42.44,-2.239,-0.6974256187990232
699,49.45165634,17.45415878,-0.6852818479575682
864,42.90056,13.33667,-0.6814914763553848
1208,44.386558,23.733658,-0.6784290451827886
1206,45.238642,19.835704,-0.6692446872294291
1136,42.45639,14.23472,-0.6661686150141424
1456,31.954287,-84.08101,-0.6658829669139097
741,59.4944458,25.9305687,-0.6619951426083864
953,45.69802778,18.83463889,-0.6551976276033175
689,43.25055555,-2.155,-0.6532775860813915
1239,45.248889,10.299444,-0.6501823381716977
1334,43.05235,-76.05921,-0.6495000365761859
843,43.223044,27.587239,-0.6482992473106823
508,28.1308,112.8908,-0.6475819531171235
