,lat,lon,Date_Mid_Greenup_Phase_1_temp_r
517,27.5578,109.9972,-0.9855900411533084
652,37.374,120.399,-0.9568493383736628
1383,39.117218,-94.635605,-0.9477985924744976
1167,44.92008,2.441082,-0.9427270285745176
1413,41.094967,-85.101814,-0.9402861959262242
571,25.0492,101.538,-0.9335093067068136
1058,46.064275,23.563517,-0.9229229200474632
1314,30.085262,-93.76134,-0.9222580694119756
1227,41.636078,25.379683,-0.9151045368082104
1230,49.28222,4.051111,-0.9126220856315596
717,43.404011,21.947746,-0.9096169668396
1069,52.398406,13.368103,-0.9031397133856038
913,50.08148193,14.4426918,-0.9001896908565794
1053,50.125332,8.746343,-0.8930695400714255
1360,40.107224,-74.882225,-0.8912499370860145
1032,45.60222,9.27611,-0.890226369080104
1004,51.52229,-0.125889,-0.8874075927034093
1408,40.3663,-80.6158,-0.8857699047978302
598,26.4214,111.6156,-0.8856281293270616
1250,44.18089,-85.73898,-0.8804853191758142
1433,40.56252,-80.503944,-0.8802083231715162
889,50.74823,2.25978,-0.8729431111654152
1178,40.39472222,-3.73194444,-0.8701635089543625
1233,47.30737,5.065881,-0.8701569426966806
353,41.7867,123.4678,-0.8679255247618975
1293,35.614132,-97.47508,-0.8659919683851857
1389,39.40745,-94.26537,-0.8578792498668971
950,50.46519216,3.939714326,-0.8575175882186812
289,30.4183,120.3019,-0.8531069021075942
631,27.8614,112.9433,-0.8500971777917419
1359,40.46542,-79.960754,-0.845188721115298
618,28.4436,117.9756,-0.8422910315777928
432,29.7228,106.6263,-0.8411837684339503
479,27.7019,106.9242,-0.8369281841454547
936,50.85780611,4.288706017,-0.8351055423149276
687,45.183611,11.311389,-0.8349917145692222
819,45.6642,8.1598,-0.8337984706573358
1275,41.55523,-81.57526,-0.8332544003174625
919,48.376576,10.88837,-0.8320513461276757
1212,42.36417,13.38306,-0.8310240053914065
1448,34.264915,-88.76622,-0.8296626230025832
410,27.9831,116.3544,-0.8295898255530436
761,47.751475,23.605325,-0.8286764513010445
858,42.732292,23.310972,-0.8272158006396708
1337,38.20087,-77.37742,-0.8263216389843319
1188,53.59617,8.09059,-0.8233598185607932
711,49.04781723,18.00782776,-0.8190259808614812
795,48.2702,16.2972,-0.8184667603153779
871,54.436985,12.721938,-0.8175439184404955
1317,42.060284,-87.86323,-0.8158396736890756
1209,50.912475,15.31219,-0.8144882957538923
1151,51.939783,15.518861,-0.8136378595928108
1304,34.474525,-85.408844,-0.8111287531900813
1181,50.30886,2.807369,-0.8103948335877357
1309,45.56498,-88.80859,-0.8103381803013155
1409,43.54792,-96.70077,-0.8053496881611886
935,50.88369465,4.382977505,-0.8046042461325033
1349,43.1818,-87.901,-0.8041452628061957
1027,49.90167,2.304597,-0.8036263921047541
694,54.124819,22.038056,-0.802821544863209
987,49.052284,8.253538,-0.7982751403600757
1439,39.310833,-76.47444,-0.793475789646157
1046,40.33639,-1.10667,-0.7916817701720039
958,47.0495,6.97915,-0.7912192087951566
1196,44.938125,26.044994,-0.7904855412149946
984,54.09323,10.240596,-0.789980674120863
1316,29.632057,-98.56493,-0.7876227650622887
39,35.8735,120.0405,-0.7868117891041414
966,51.406846,6.965589,-0.7860127319718999
1009,55.79216,-3.2429,-0.7848496141217067
1232,49.15167,-0.352778,-0.7827065351981356
927,54.88361,-1.406878,-0.7825640987117538
837,44.73473,9.36693,-0.7817256842730831
816,49.211447,18.771215,-0.7800797069518217
1210,47.068717,21.927233,-0.779681783317182
