,year,AOT40_allincrease3%,AOT40_alldecrease3%,AOT40_all,AOT40_allincrease1.5%,AOT40_alldecrease1.5%
0,2023,46027.02843,43345.84231,44686.43537,45356.7319,44016.13884
1,2024,47367.62149,42005.24925,44686.43537,46027.02843,43345.84231
2,2025,48708.21455,40664.65619,44686.43537,46697.32496,42675.54578
3,2026,50048.80761,39324.06313,44686.43537,47367.62149,42005.24925
4,2027,51389.40068,37983.47006,44686.43537,48037.91802,41334.95272
5,2028,52729.99374,36642.877,44686.43537,48708.21455,40664.65619
6,2029,54070.5868,35302.28394,44686.43537,49378.51108,39994.35966
7,2030,55411.17986,33961.69088,44686.43537,50048.80761,39324.06313
8,2031,56751.77292,32621.09782,44686.43537,50719.10414,38653.7666
9,2032,58092.36598,31280.50476,44686.43537,51389.40068,37983.47006
10,2033,59432.95904,29939.9117,44686.43537,52059.69721,37313.17353
11,2034,60773.5521,28599.31864,44686.43537,52729.99374,36642.877
12,2035,62114.14516,27258.72558,44686.43537,53400.29027,35972.58047
13,2036,63454.73823,25918.13251,44686.43537,54070.5868,35302.28394
14,2037,64795.33129,24577.53945,44686.43537,54740.88333,34631.98741
15,2038,66135.92435,23236.94639,44686.43537,55411.17986,33961.69088
16,2039,67476.51741,21896.35333,44686.43537,56081.47639,33291.39435
17,2040,68817.11047,20555.76027,44686.43537,56751.77292,32621.09782
18,2041,70157.70353,19215.16721,44686.43537,57422.06945,31950.80129
19,2042,71498.29659,17874.57415,44686.43537,58092.36598,31280.50476
20,2043,72838.88965,16533.98109,44686.43537,58762.66251,30610.20823
21,2044,74179.48271,15193.38803,44686.43537,59432.95904,29939.9117
22,2045,75520.07578,13852.79496,44686.43537,60103.25557,29269.61517
23,2046,76860.66884,12512.2019,44686.43537,60773.5521,28599.31864
24,2047,78201.2619,11171.60884,44686.43537,61443.84863,27929.02211
25,2048,79541.85496,9831.015781,44686.43537,62114.14516,27258.72558
26,2049,80882.44802,8490.42272,44686.43537,62784.44169,26588.42905
27,2050,82223.04108,7149.829659,44686.43537,63454.73823,25918.13251
