"year","springincrease5","springincrease3","springnochange","springdecrease3","springdecrease5","autumnincrease5","autumnincrease3","autumnnochange","autumndecrease3","autumndecrease5","summerincrease5","summerincrease3","summernochange","summerdecrease3","summerdecrease5","allincrease5","allincrease3","allnochange","alldecrease3","alldecrease5"
2023,108.429801619996,108.324043743932,108.218285867868,108.112527991804,108.00677011574,275.858900388236,275.884122541972,275.909344695707,275.934566849443,275.959789003178,0.400899616958314,0.401120195863227,0.40134077476814,0.401561353673053,0.401781932577966,45.8832817111201,45.9556372001229,46.0279926891257,46.1003481781286,46.1727036671314
2024,108.57626971512,108.364753962992,108.153238210864,107.941722458736,107.730206706608,274.200412721356,274.250857028827,274.301301336298,274.35174564377,274.402189951241,0.39369728228765,0.394138440097476,0.394579597907301,0.395020755717127,0.395461913526952,47.305539392975,47.4502503709807,47.5949613489863,47.739672326992,47.8843833049976
2025,109.406501219074,109.089227590882,108.77195396269,108.454680334498,108.137406706306,274.361745897683,274.43741235889,274.513078820096,274.588745281303,274.66441174251,0.393543571004363,0.394205307719101,0.394867044433839,0.395528781148577,0.396190517863316,48.1950067918569,48.4120732588654,48.6291397258738,48.8462061928823,49.0632726598908
2026,107.608359147171,107.185327642915,106.762296138659,106.339264634403,105.916233130147,277.731986737728,277.83287535267,277.933763967612,278.034652582555,278.135541197497,0.406114298699821,0.406996614319472,0.407878929939123,0.408761245558774,0.409643561178425,50.1623269830067,50.451748939018,50.7411708950293,51.0305928510406,51.3200148070519
2027,109.794626033046,109.265836652725,108.737047272405,108.208257892085,107.679468511765,274.495844466009,274.621955234687,274.748066003365,274.874176772043,275.00028754072,0.388264196656961,0.389367091181525,0.390469985706089,0.391572880230653,0.392675774755216,51.2630261940346,51.6248036390487,51.9865810840628,52.348358529077,52.7101359740911
2028,109.170844280215,108.536297023831,107.901749767447,107.267202511063,106.632655254679,276.495058450747,276.646391373161,276.797724295574,276.949057217988,277.100390140401,0.398667377538709,0.399990850968185,0.401314324397662,0.402637797827138,0.403961271256615,52.8507779726313,53.2849109066482,53.7190438406652,54.1531767746821,54.587309708699
2029,108.769652629887,108.029347497439,107.289042364991,106.548737232543,105.808432100095,274.120376178926,274.296931255075,274.473486331224,274.650041407373,274.826596483522,0.390217362676218,0.391761415010607,0.393305467344996,0.394849519679386,0.396393572013775,54.541185691218,55.0476741142378,55.5541625372575,56.0606509602773,56.5671393832971
2030,111.723769384129,110.877706375617,110.031643367105,109.185580358593,108.339517350081,274.02264015543,274.224417385315,274.426194615199,274.627971845084,274.829749074969,0.383662555202528,0.38542718644183,0.387191817681132,0.388956448920434,0.390721080159736,55.4443177821348,56.0231616941574,56.60200560618,57.1808495182026,57.7596934302252
2031,111.993469821653,111.041648937077,110.089828052501,109.138007167925,108.186186283349,273.679971172375,273.906970555996,274.133969939616,274.360969323236,274.587968706856,0.381569814952589,0.383555025096804,0.385540235241019,0.387525445385234,0.389510655529448,56.8466908299457,57.4978902309711,58.1490896319965,58.8002890330219,59.4514884340473
2032,107.664638193114,106.607059432474,105.549480671834,104.491901911194,103.434323150554,279.001331893994,279.25355343135,279.505774968706,279.757996506061,280.010218043417,0.403738492254419,0.405944281303547,0.408150070352674,0.410355859401802,0.412561648450929,59.2522427071012,59.9757975971294,60.6993524871577,61.4229073771859,62.1464622672141
2033,105.569423281475,104.406086644771,103.242750008067,102.079413371363,100.916076734659,278.492985481908,278.770429172999,279.04787286409,279.325316555182,279.602760246273,0.40472667388094,0.407153041834981,0.409579409789021,0.412005777743061,0.414432145697101,60.9831180845933,61.7790284636244,62.5749388426554,63.3708492216865,64.1667596007175
