,year,AOT40_allincrease3%,AOT40_alldecrease3%,AOT40_all,AOT40_allincrease1.5%,AOT40_alldecrease1.5%
0,2023,8881.224976,8363.872064,8622.54852,8751.886748,8493.210292
1,2024,9139.901431,8105.195609,8622.54852,8881.224976,8363.872064
2,2025,9398.577887,7846.519153,8622.54852,9010.563203,8234.533837
3,2026,9657.254342,7587.842698,8622.54852,9139.901431,8105.195609
4,2027,9915.930798,7329.166242,8622.54852,9269.239659,7975.857381
5,2028,10174.60725,7070.489786,8622.54852,9398.577887,7846.519153
6,2029,10433.28371,6811.813331,8622.54852,9527.916115,7717.180925
7,2030,10691.96016,6553.136875,8622.54852,9657.254342,7587.842698
8,2031,10950.63662,6294.46042,8622.54852,9786.59257,7458.50447
9,2032,11209.31308,6035.783964,8622.54852,9915.930798,7329.166242
10,2033,11467.98953,5777.107508,8622.54852,10045.26903,7199.828014
11,2034,11726.66599,5518.431053,8622.54852,10174.60725,7070.489786
12,2035,11985.34244,5259.754597,8622.54852,10303.94548,6941.151559
13,2036,12244.0189,5001.078142,8622.54852,10433.28371,6811.813331
14,2037,12502.69535,4742.401686,8622.54852,10562.62194,6682.475103
15,2038,12761.37181,4483.72523,8622.54852,10691.96016,6553.136875
16,2039,13020.04827,4225.048775,8622.54852,10821.29839,6423.798647
17,2040,13278.72472,3966.372319,8622.54852,10950.63662,6294.46042
18,2041,13537.40118,3707.695864,8622.54852,11079.97485,6165.122192
19,2042,13796.07763,3449.019408,8622.54852,11209.31308,6035.783964
20,2043,14054.75409,3190.342952,8622.54852,11338.6513,5906.445736
21,2044,14313.43054,2931.666497,8622.54852,11467.98953,5777.107508
22,2045,14572.107,2672.990041,8622.54852,11597.32776,5647.769281
23,2046,14830.78345,2414.313586,8622.54852,11726.66599,5518.431053
24,2047,15089.45991,2155.63713,8622.54852,11856.00422,5389.092825
25,2048,15348.13637,1896.960674,8622.54852,11985.34244,5259.754597
26,2049,15606.81282,1638.284219,8622.54852,12114.68067,5130.416369
27,2050,15865.48928,1379.607763,8622.54852,12244.0189,5001.078142
