year,springincrease5,springincrease3,springnochange,springdecrease3,springdecrease5,autumnincrease5,autumnincrease3,autumnnochange,autumndecrease3,autumndecrease5,summerincrease5,summerincrease3,summernochange,summerdecrease3,summerdecrease5,allincrease5,allincrease3,allnochange,alldecrease3,alldecrease5
2023,112.0766451,112.0516392,112.0266333,112.0016275,111.9766216,256.2998145,256.3809116,256.4620087,256.5431057,256.6242028,0.360122009,0.360269822,0.360417635,0.360565448,0.360713261,39.38439768,39.4595441,39.53469051,39.60983692,39.68498334
2024,120.5264864,120.4764746,120.4264629,120.3764511,120.3264393,247.8214996,247.9836937,248.1458879,248.3080821,248.4702762,0.360811177,0.361106803,0.36140243,0.361698056,0.361993682,39.27177446,39.42206729,39.57236011,39.72265294,39.87294577
2025,113.1937997,113.118782,113.0437644,112.9687468,112.8937291,265.1136871,265.3569784,265.6002696,265.8435609,266.0868521,0.389025836,0.389469275,0.389912715,0.390356154,0.390799593,40.97163489,41.19707413,41.42251337,41.64795261,41.87339185
2026,107.9191306,107.8191071,107.7190836,107.61906,107.5190365,270.1244471,270.4488354,270.7732237,271.0976121,271.4220004,0.38709923,0.387690483,0.388281735,0.388872987,0.38946424,41.62156382,41.92214947,42.22273512,42.52332077,42.82390643
2027,123.0621389,122.9371095,122.81208,122.6870506,122.5620212,264.2596855,264.6651709,265.0706563,265.4761417,265.8816271,0.399166926,0.399905991,0.400645057,0.401384122,0.402123188,41.99272287,42.36845493,42.744187,43.11991906,43.49565113
2028,107.3521904,107.2021551,107.0521198,106.9020845,106.7520492,273.8244763,274.3110588,274.7976413,275.2842238,275.7708062,0.40175629,0.402643169,0.403530048,0.404416926,0.405303805,43.28006107,43.73093955,44.18181803,44.63269651,45.08357499
2029,132.044285,131.8692438,131.6942026,131.5191615,131.3441203,257.9935827,258.5612623,259.1289419,259.6966214,260.264301,0.391668139,0.392702831,0.393737522,0.394772214,0.395806906,42.56202768,43.08805257,43.61407747,44.14010236,44.66612725
2030,118.3090402,118.1089932,117.9089461,117.7088991,117.508852,255.6203414,256.269118,256.9178947,257.5666713,258.215448,0.399822126,0.401004631,0.402187136,0.403369641,0.404552145,44.08976733,44.69093863,45.29210994,45.89328124,46.49445255
2031,125.1039154,124.8788625,124.6538095,124.4287566,124.2037037,259.6383902,260.3682639,261.0981376,261.8280114,262.5578851,0.40318758,0.404517898,0.405848216,0.407178534,0.408508851,44.55278238,45.2291001,45.90541782,46.58173554,47.25805326
2032,109.8091225,109.5590637,109.3090048,109.058946,108.8088872,264.253083,265.0640538,265.8750247,266.6859955,267.4969663,0.420024395,0.421502526,0.422980657,0.424458788,0.425936919,46.34566503,47.09712917,47.8485933,48.60005743,49.35152156
2033,105.6938912,105.4188265,105.1437618,104.8686971,104.5936324,260.248697,261.1407649,262.0328328,262.9249007,263.8169686,0.424825529,0.426451473,0.428077417,0.429703361,0.431329305,47.47104048,48.29765102,49.12426157,49.95087211,50.77748266
2034,108.1859677,107.8858971,107.5858266,107.285756,106.9856854,270.9704595,271.9436245,272.9167895,273.8899545,274.8631195,0.433770705,0.435544463,0.43731822,0.439091977,0.440865734,48.1008027,49.00255966,49.90431661,50.80607357,51.70783053
2035,115.4969027,115.1718263,114.8467498,114.5216734,114.1965969,263.1251694,264.1794314,265.2336935,266.2879556,267.3422176,0.42623799,0.42815956,0.430081131,0.432002701,0.433924271,48.76258457,49.73948794,50.71639131,51.69329468,52.67019805
2036,117.1607044,116.810622,116.4605397,116.1104574,115.760375,252.2358742,253.3712333,254.5065925,255.6419516,256.7773108,0.413628363,0.415697746,0.417767129,0.419836513,0.421905896,48.87124644,49.92329622,50.97534601,52.02739579,53.07944557
2037,121.0329751,120.6578869,120.2827987,119.9077105,119.5326222,259.9729355,261.1893917,262.405848,263.6223042,264.8387604,0.438139418,0.440356615,0.442573811,0.444791008,0.447008204,50.47789166,51.60508785,52.73228405,53.85948025,54.98667645
2038,109.2112354,108.8111413,108.4110472,108.0109531,107.610859,261.7754298,263.0729831,264.3705364,265.6680897,266.965643,0.438778405,0.441143414,0.443508424,0.445873434,0.448238443,51.41995516,52.62229777,53.82464038,55.02698299,56.2293256
2039,111.9184122,111.4933123,111.0682123,110.6431123,110.2180123,261.93667,263.3153204,264.6939708,266.0726212,267.4512716,0.449021784,0.451534606,0.454047429,0.456560252,0.459073075,52.73625694,54.01374597,55.29123499,56.56872402,57.84621304
2040,120.5250398,120.0749339,119.6248281,119.1747222,118.7246163,256.0534927,257.5132402,258.9729876,260.4327351,261.8924826,0.438346033,0.441006669,0.443667305,0.44632794,0.448988576,53.00748536,54.36012079,55.71275623,57.06539167,58.41802711
2041,129.3712019,128.8960901,128.4209784,127.9458667,127.4707549,259.1984039,260.7392484,262.280093,263.8209375,265.3617821,0.453903497,0.456711946,0.459520395,0.462328844,0.465137293,53.90439548,55.33217734,56.75995919,58.18774104,59.61552289
2042,112.6272107,112.1270931,111.6269754,111.1268578,110.6267402,265.2518421,266.8737837,268.4957254,270.117667,271.7396086,0.471672054,0.474628316,0.477584578,0.48054084,0.483497102,56.02992442,57.53285268,59.03578094,60.53870921,62.04163747
2043,110.8905265,110.365403,109.8402795,109.315156,108.7900325,267.6382311,269.3412698,271.0443085,272.7473472,274.4503859,0.484011884,0.487115959,0.490220034,0.493324109,0.496428184,57.09500437,58.67307905,60.25115373,61.82922841,63.40730308
2044,112.5197696,111.9696402,111.4195108,110.8693814,110.319252,269.2930131,271.0771489,272.8612847,274.6454205,276.4295563,0.491000184,0.494252072,0.49750396,0.500755848,0.504007736,58.24699972,59.90022081,61.5534419,63.20666299,64.85988408
2045,109.5785122,109.0033769,108.4282416,107.8531064,107.2779711,267.4466163,269.3118492,271.1770821,273.042315,274.9075479,0.490955361,0.494355062,0.497754763,0.501154465,0.504554166,59.43509184,61.16345934,62.89182685,64.62019435,66.34856185
2046,136.1396551,135.5395139,134.9393728,134.3392316,133.7390905,256.903421,258.849751,260.796081,262.7424109,264.6887409,0.482772602,0.486320116,0.48986763,0.493415145,0.496962659,59.89314001,61.69665392,63.50016784,65.30368176,67.10719568
2047,103.2383647,102.6132177,101.9880707,101.3629236,100.7377766,259.0147974,261.0422245,263.0696515,265.0970786,267.1245056,0.491384644,0.495079972,0.498775299,0.502470626,0.506165954,62.13291613,64.01157645,65.89023679,67.76889712,69.64755744
2048,120.8736636,120.2235107,119.5733578,118.9232049,118.273052,262.0414873,264.1500114,266.2585356,268.3670597,270.4755838,0.500422146,0.504265287,0.508108427,0.511951568,0.515794709,62.83120063,64.78500738,66.73881412,68.69262086,70.64642761
2049,123.8518794,123.1767206,122.5015618,121.826403,121.1512442,260.0209781,262.2105993,264.4002205,266.5898417,268.779463,0.505913554,0.509904508,0.513895461,0.517886415,0.521877369,64.41412939,66.44308254,68.4720357,70.50098886,72.52994201
