year,springincrease5,springincrease3,springnochange,springdecrease3,springdecrease5,autumnincrease5,autumnincrease3,autumnnochange,autumndecrease3,autumndecrease5,summerincrease5,summerincrease3,summernochange,summerdecrease3,summerdecrease5,allincrease5,allincrease3,allnochange,alldecrease3,alldecrease5
2023,115.8130768,115.7910522,115.7690277,115.7470031,115.7249785,287.3994041,287.4993263,287.5992485,287.6991707,287.7990929,0.394975507,0.395125858,0.39527621,0.395426562,0.395576914,38.65381056,38.73982864,38.82584673,38.91186481,38.99788289
2024,118.5071643,118.4631152,118.4190661,118.375017,118.3309679,294.3646971,294.5645415,294.7643859,294.9642302,295.1640746,0.392602672,0.392903376,0.393204079,0.393504783,0.393805486,39.38411658,39.55615275,39.72818892,39.90022508,40.07226125
2025,121.7739855,121.7079119,121.6418382,121.5757646,121.5096909,291.4707467,291.7705132,292.0702798,292.3700464,292.6698129,0.394017745,0.3944688,0.394919855,0.395370911,0.395821966,39.67120427,39.92925852,40.18731277,40.44536702,40.70342127
2026,126.9017669,126.8136687,126.7255705,126.6374723,126.5493741,297.0204749,297.4201637,297.8198524,298.2195412,298.6192299,0.406091996,0.406693403,0.40729481,0.407896217,0.408497624,40.29004638,40.63411872,40.97819105,41.32226339,41.66633572
2027,116.094872,115.9847492,115.8746265,115.7645037,115.654381,288.6167427,289.1163537,289.6159646,290.1155756,290.6151865,0.404124124,0.404875882,0.405627641,0.4063794,0.407131159,41.27070676,41.70079718,42.13088759,42.56097801,42.99106843
2028,119.5840333,119.451886,119.3197387,119.1875914,119.0554441,288.0537349,288.6532681,289.2528012,289.8523343,290.4518674,0.410945816,0.411847927,0.412750038,0.413652148,0.414554259,41.95348698,42.46959548,42.98570398,43.50181248,44.01792098
2029,131.107642,130.9534702,130.7992983,130.6451264,130.4909546,281.5771514,282.2766067,282.976062,283.6755174,284.3749727,0.401922573,0.402975036,0.404027498,0.405079961,0.406132423,41.81083601,42.41296259,43.01508918,43.61721576,44.21934235
2030,127.5672699,127.3910735,127.2148771,127.0386807,126.8624842,293.1447683,293.9441458,294.7435233,295.5429008,296.3422783,0.41453639,0.415739204,0.416942019,0.418144833,0.419347647,43.23165894,43.91980361,44.60794827,45.29609294,45.98423761
2031,114.4901417,114.2919207,114.0936997,113.8954788,113.6972578,294.3352475,295.2345472,296.1338469,297.0331466,297.9324462,0.422575876,0.423929042,0.425282208,0.426635374,0.42798854,44.38914382,45.16330657,45.93746932,46.71163207,47.48579482
2032,125.8958213,125.6755758,125.4553303,125.2350848,125.0148392,288.241209,289.2404309,290.2396528,291.2388746,292.2380965,0.423925,0.425428518,0.426932035,0.428435553,0.429939071,44.70138109,45.56156193,46.42174276,47.2819236,48.14210443
