,lat,lon,EVI2_Growing_Season_Area_1_aot40_r
626,34.3497,107.2058,-0.9954140952061024
1217,53.24696,10.4565,-0.9931038994212464
664,34.6692,112.3628,-0.9877222333679396
1221,43.4015,-5.8028,-0.979039947799784
554,22.5545,114.1063,-0.978212579932498
1198,51.067439,19.448694,-0.9758381387360028
336,31.2472,120.561,-0.9743719818255024
704,45.569,8.1876,-0.962052434187734
1448,34.264915,-88.76622,-0.9618111217418208
696,49.91351318,14.7826252,-0.9586056035694266
431,29.8253,106.4213,-0.9487534481542556
1010,53.56292,-1.510436,-0.9486350867341532
899,40.540351,-3.645253,-0.9486161978019958
266,48.471,129.5029,-0.9471874023842344
1239,45.248889,10.299444,-0.9448896263620864
576,38.4842,106.2757,-0.9444303527503114
471,29.7091,106.4522,-0.9435886617611616
863,52.602056,11.850274,-0.9434328437444812
875,40.641111,-8.100556,-0.9429281710742464
1169,45.84299,13.54308,-0.9415350550745526
62,30.7236,103.9728,-0.9387006250862028
767,44.013056,12.42,-0.9374002143349636
235,41.9419,126.4077,-0.9356970984549824
789,45.0249,7.6491,-0.9309217331980136
1418,45.49664,-122.602875,-0.9295081640516142
1227,41.636078,25.379683,-0.9286099404234872
1001,47.73344,12.891241,-0.9267735174722308
1209,50.912475,15.31219,-0.9264962793629584
579,30.0003,120.5483,-0.9230797239511052
1196,44.938125,26.044994,-0.9222038018335736
407,31.4741,104.7778,-0.9206919170044628
911,50.11108017,14.50309563,-0.9192346967248368
306,39.9499,119.5897,-0.9169353431459274
832,48.53111111,14.57472222,-0.914734273107277
1031,45.226667,11.665833,-0.9138691608787668
1108,40.3419,-3.8337,-0.9095880602213308
1000,48.021657,12.538174,-0.9094144230846322
1163,45.5476,9.16698,-0.9062335481218972
1135,52.22174,-2.736665,-0.9054937128480676
1020,45.560556,11.539722,-0.9048546337670886
792,45.760833,11.736667,-0.9042901445667384
1005,44.7037,8.0333,-0.9027179343316124
412,25.8333,114.9322,-0.9017856037965728
103,37.4236,122.1214,-0.9003420424671
87,34.2322,108.8922,-0.8964402401387639
1238,40.6646,-3.7739,-0.8959464232141038
1061,50.048397,10.232076,-0.8959086008615413
697,49.66958237,12.6778841,-0.895003873644559
516,27.5342,109.9781,-0.8931235472403645
502,28.1322,113.0178,-0.8908747724686922
269,39.6973,106.8174,-0.8900430724197341
85,34.2629,108.993,-0.8889923022309786
727,47.651725,23.570508,-0.8876148888493925
680,44.9089,8.2055,-0.886519258325297
878,43.293137,5.574184,-0.8842400847193895
1140,50.68352509,14.04119492,-0.8838440582318443
139,30.2006,115.0817,-0.8824469697944024
1105,59.399355,18.077416,-0.8789131989949309
355,41.8467,123.4264,-0.8774252467516325
1089,48.12027778,14.878333,-0.8753303219975995
683,45.6725,12.238611,-0.8748622512649381
920,49.869422,9.171544,-0.8701855565492946
158,33.8518,115.7789,-0.8687065105957638
1204,41.886019,12.541618,-0.8669273806605898
827,45.193889,9.164722,-0.8668609175094997
788,47.541944,19.146122,-0.86649512758186
824,44.5,11.286111,-0.8640467286681318
24,41.2664,123.7992,-0.8629071216737306
510,26.9056,112.5664,-0.8597457176797313
209,42.3022,123.8139,-0.8595975555409171
213,43.1713,124.4002,-0.8544137237806015
1016,42.42212,12.109196,-0.85362771966596
1067,51.651166,12.302866,-0.8531733408465991
1203,40.71099,14.70244,-0.8527230964106165
