,lat,lon,Date_Mid_Senescence_Phase_1_aot40_r
1213,50.676856,17.950278,-0.968189200398426
1450,43.34317,-87.92087,-0.962602057163538
403,27.1312,114.99,-0.9600729463390192
1113,54.97825,-1.610528,-0.9532530861393818
396,39.6506,118.1705,-0.9429043627299336
470,26.2714,117.635,-0.9415926954776604
1151,51.939783,15.518861,-0.9319988148030144
113,35.4216,119.523,-0.9247648042277672
1116,51.34879529,4.339709947,-0.9226312001129222
305,39.9041,119.5251,-0.9194066353249852
394,39.1661,117.1444,-0.9045909496424404
115,34.7837,117.2852,-0.9021943906516442
642,24.7733,113.5824,-0.9015128982631408
676,49.224167,4.020556,-0.8979618606272306
1453,32.41281,-86.2634,-0.8976081091817373
79,35.0532,118.3429,-0.897531039182412
660,36.1851,120.3905,-0.8934563116581452
201,30.5119,117.0331,-0.8923127844924026
271,37.0851,114.5237,-0.8910468089978189
364,38.9511,121.565,-0.8901661324036549
343,32.1028,118.9125,-0.8889426830487914
328,31.1654,121.412,-0.8879535720402384
586,35.7668,115.0,-0.8877175730376405
323,33.575,119.007,-0.8804394068339874
282,30.1808,120.0883,-0.8789744290038897
1205,39.48963,16.3868,-0.8785954043263178
330,31.6219,120.275,-0.8784688912942651
388,38.0178,114.5331,-0.8768522337509108
280,40.9763,117.9392,-0.8755642905924956
203,43.9311,116.0781,-0.873276391423393
453,26.567,101.7227,-0.8716143145973712
1133,49.07655,8.40666,-0.8699769865861732
393,39.0927,117.202,-0.8652186468997418
433,32.0931,118.6414,-0.8555485366047446
1231,46.34072,2.593945,-0.8553044576692619
435,29.355,113.2117,-0.8533396893084262
591,36.61763,114.5129,-0.8511397089539684
1441,31.188932,-85.423096,-0.8508060496931402
447,31.388,120.953,-0.8438829916574899
1082,50.16443,9.399441,-0.8426637684170968
1103,47.4029,8.6134,-0.8422505728079388
555,31.7231,118.5228,-0.841021638909212
246,33.9477,116.7856,-0.8401230692586474
1023,47.44739,-0.550067,-0.8346103750839314
764,45.869995,1.31,-0.8325560602032929
169,37.9251,102.6201,-0.8319027337492649
257,45.3039,130.9429,-0.8303441302746923
1400,30.439722,-84.34639,-0.830138771399375
