,lat,lon,EVI2_Growing_Season_Area_1_co2_r
655,30.5767,104.0594,-0.888579269849296
601,27.0803,114.9754,-0.8844730511066768
477,29.2617,117.1547,-0.8817957477739112
200,30.6145,116.9896,-0.8707429053549096
597,25.0441,101.5482,-0.8700168181915369
554,22.5545,114.1063,-0.8641559600106437
579,30.0003,120.5483,-0.8635078034421477
598,26.4214,111.6156,-0.8592180597857196
446,27.6434,113.8385,-0.8579741926861868
541,27.7044,111.9892,-0.8388033027351927
337,31.3097,120.669,-0.8381769521997852
467,29.334,120.04,-0.8366263925130079
273,37.7541,115.6838,-0.8356408927312227
316,31.7964,117.3027,-0.8294670201993407
55,31.4668,104.6697,-0.8195171376832286
550,30.3714,114.8989,-0.8169692949006715
117,36.4372,115.9848,-0.8169265138946152
567,26.0746,119.317,-0.8107273754321834
479,27.7019,106.9242,-0.794961703692894
147,30.9891,112.1969,-0.7893898789529777
247,30.9412,117.8177,-0.7873202556714265
513,25.0992,104.8811,-0.7768789161962393
635,23.691,113.0426,-0.7747767598053785
336,31.2472,120.561,-0.7734314742760829
666,26.5424,106.674,-0.7651682238296699
54,31.4535,104.7563,-0.7650537478575719
194,33.0706,107.0154,-0.7615076694186576
575,30.4576,106.6303,-0.7611294411048461
38,36.6868,117.532,-0.7535119970414953
171,35.5307,106.7021,-0.7470985046983041
351,32.4639,119.888,-0.7446000083436295
442,36.7729,119.1936,-0.7444217989949214
230,35.0303,110.9686,-0.7438499706130327
165,35.7609,115.0574,-0.7390376549385191
134,32.9735,112.5003,-0.7376203451630038
428,30.7819,111.3275,-0.7320530603985085
189,31.1986,107.5082,-0.7195036220535872
309,36.0658,120.4134,-0.7177787526303555
205,41.998,121.6094,-0.7156806409301701
475,29.3867,117.3102,-0.7131440656117446
57,31.1317,104.3826,-0.7102263568725768
520,30.1506,104.6356,-0.7082384761451184
460,31.882,120.55,-0.7046011734229503
587,31.9996,118.7356,-0.702625719277996
562,22.2281,113.299,-0.7025615448585659
532,27.725,111.9975,-0.6999527855599502
215,40.761,107.4212,-0.6972807536731004
274,38.3254,116.8584,-0.6896738254481004
607,29.2956,117.2461,-0.6759897063279641
641,24.7791,113.6735,-0.6722443697991103
613,30.7525,120.7846,-0.6692736719466569
422,32.0023,118.7752,-0.6662803591007022
131,33.6128,114.6613,-0.665320336999132
437,27.9153,113.0048,-0.6622045871627296
638,23.0822,114.4053,-0.6592113569627518
569,26.8906,100.2203,-0.6571465358625377
28,34.6886,112.494,-0.6570683183938006
408,27.0968,115.0093,-0.6546561927745901
84,30.6306,104.1122,-0.6519552634454041
339,32.0005,120.86,-0.6510998090620834
498,34.7178,113.7329,-0.6481156332619107
342,32.1065,118.8086,-0.6304522848870413
325,33.5981,119.036,-0.6299018349609629
526,27.8851,102.2685,-0.6269961533702052
282,30.1808,120.0883,-0.6164115585438528
395,39.1082,117.237,-0.6147695780696911
288,30.2692,120.1903,-0.6115738670577661
664,34.6692,112.3628,-0.603236799800308
418,28.2642,117.0564,-0.6010581585308602
330,31.6219,120.275,-0.5984993886039256
67,40.7094,122.2703,-0.5978017354278419
546,30.9285,113.9153,-0.5881201367786132
332,45.6842,126.6206,-0.5866624677626887
570,27.9939,120.6748,-0.5859468906988636
667,26.6027,106.7109,-0.58342749477703
225,37.6945,112.7532,-0.5833690397540251
549,28.9398,118.8692,-0.5807445630641632
272,37.0886,114.4704,-0.5793373636174879
434,29.4758,113.2621,-0.5769280460726299
87,34.2322,108.8922,-0.5660338070139821
497,28.2597,112.9792,-0.5625442709344209
456,29.7178,118.327,-0.5597192598518925
547,44.5782,129.6115,-0.5594608276052644
531,29.5822,105.0406,-0.5592047864034435
373,43.79,125.4605,-0.5570493985117246
59,30.8023,106.0789,-0.5422765552295873
331,31.5475,120.354,-0.5406999547062862
250,50.2524,127.4833,-0.5368786155798938
376,43.8463,125.2841,-0.5252839349321058
157,31.7905,116.4996,-0.5246336690908084
116,37.4451,116.2991,-0.517754665568941
35,34.3617,108.7233,-0.5151035955818308
624,35.878,120.005,-0.5149355714156569
444,25.2697,110.2819,-0.510348229676061
605,27.2442,111.5283,-0.5096196359892348
65,40.6288,109.8642,-0.5080766309235141
148,33.5698,114.0261,-0.507515313812416
661,35.4828,112.8271,-0.506117273059458
344,34.2761,117.179,-0.5056529577331036
222,39.3522,112.4397,-0.5044899799956053
665,31.751,119.579,-0.5015774349081262
514,28.6842,115.9314,-0.5015025168584747
620,27.7314,112.0194,-0.5004700512588512
346,32.0309,118.8109,-0.4935702411272776
544,39.7443,98.5061,-0.4929545820057097
610,30.8955,120.0875,-0.4923037208372825
25,41.3472,123.8142,-0.4912552455750247
340,32.02,120.87,-0.4896602945456196
491,43.941,81.3364,-0.4880128213321519
232,37.5211,111.1406,-0.4830150752516149
391,38.8394,117.457,-0.4813845629893343
184,30.1256,104.6296,-0.4805841577966492
153,32.8929,115.8277,-0.475415758172782
393,39.0927,117.202,-0.4753639288206185
511,26.8919,112.6006,-0.4748486170960947
164,35.7636,115.0312,-0.4718494819141959
271,37.0851,114.5237,-0.462418233930756
195,33.1138,107.0089,-0.4621740491871456
436,28.9703,111.6975,-0.4601200883844174
476,46.7432,82.9994,-0.4558026916664054
