,lat,lon,EVI2_Growing_Season_Area_1_o3_r
1198,51.067439,19.448694,-0.9942488846774952
1196,44.938125,26.044994,-0.99323838654525
626,34.3497,107.2058,-0.9890468504891056
579,30.0003,120.5483,-0.9667195346808456
412,25.8333,114.9322,-0.9643995456964602
1000,48.021657,12.538174,-0.9643690371939648
1209,50.912475,15.31219,-0.9535360236324965
1448,34.264915,-88.76622,-0.9526516582235914
911,50.11108017,14.50309563,-0.9500230530142212
664,34.6692,112.3628,-0.9479128535163858
471,29.7091,106.4522,-0.9466394305050292
407,31.4741,104.7778,-0.9432763627710058
1108,40.3419,-3.8337,-0.9417347063893964
624,35.878,120.005,-0.9385299804171277
576,38.4842,106.2757,-0.935600267284806
502,28.1322,113.0178,-0.9315245059084464
1203,40.71099,14.70244,-0.9270429515649882
796,48.1061111,15.91944444,-0.9258162371197644
633,36.5819,101.834,-0.9180215280328206
565,26.1028,119.2984,-0.9150694053328272
1239,45.248889,10.299444,-0.9149375573639316
629,39.8261,109.9486,-0.9146630769996827
1139,50.66109467,14.04306316,-0.9126463497973812
1140,50.68352509,14.04119492,-0.9105020995227724
837,44.73473,9.36693,-0.909283262723479
1114,51.45258,0.070766,-0.906927104345039
800,45.655,10.20083,-0.90656417307451
319,38.9108,115.4713,-0.9056292964717892
915,44.4122,8.1695,-0.903640529608073
797,46.7675,15.956111,-0.9001323228729992
62,30.7236,103.9728,-0.8964849265334273
1221,43.4015,-5.8028,-0.8955621420300832
451,26.4365,106.6555,-0.895054530453766
306,39.9499,119.5897,-0.8923054188604501
752,45.3189,8.4024,-0.8871457149358417
290,37.9854,112.549,-0.8848644849759792
792,45.760833,11.736667,-0.8821939308275044
668,26.5161,106.694,-0.8798301325981301
70,40.0625,124.3303,-0.878896237873803
1200,43.89555,25.956575,-0.8788321064114959
975,49.628771,8.364779,-0.8786266391501799
544,39.7443,98.5061,-0.8769180464765597
1445,35.988277,-77.5843,-0.8712311009381207
826,45.1546,7.658,-0.8668465687833229
378,43.9166,125.3325,-0.8667916818031346
1061,50.048397,10.232076,-0.8666470854313892
1293,35.614132,-97.47508,-0.8658844311151829
301,34.7525,113.64164,-0.865423695703802
85,34.2629,108.993,-0.8629884676454059
1124,45.690278,9.643889,-0.8628459623892681
1164,43.675114,4.62921,-0.856249339351053
1028,44.39703,8.20604,-0.8549886244213444
103,37.4236,122.1214,-0.8536698527857047
1005,44.7037,8.0333,-0.8502622748487987
899,40.540351,-3.645253,-0.8502096883771855
811,43.39873,6.075611,-0.850109526381287
823,45.1763,7.7116,-0.8482771457159849
1342,29.583048,-95.01554,-0.8471165770497456
269,39.6973,106.8174,-0.8468488468291127
1034,43.66028,11.90167,-0.8462552783341274
1332,35.9138,-81.191,-0.8444176065258951
209,42.3022,123.8139,-0.8436111192071055
