,lat,lon,EVI2_Onset_Greenness_Maximum_1_temp_r
1235,40.3597,-3.5429,-0.9843530438700716
1225,41.31347521,2.013824628,-0.9712359381521736
1076,47.3868,8.53981,-0.9688733797500584
1211,42.736572,11.87643,-0.9501731248436782
1212,42.36417,13.38306,-0.9339984201664572
1060,46.564369,26.910667,-0.9148788501300462
1228,46.9631,7.46252,-0.910183953158492
1091,46.708333,14.891667,-0.9006758659871819
1158,51.748103,18.04931,-0.8955495877290556
1229,47.3815,8.56592,-0.8904557081861709
955,47.4067,9.39438,-0.8861246199604165
711,49.04781723,18.00782776,-0.8852946740836533
1178,40.39472222,-3.73194444,-0.8775553744161843
946,48.930932,21.913705,-0.8727988633160242
724,43.32074,-3.11272,-0.8692770358726637
1093,49.107502,6.122775,-0.8559690703812978
1162,45.96141,4.465711,-0.840720998373451
1052,57.70902,11.970241,-0.8357937724805892
1009,55.79216,-3.2429,-0.8286082771962681
1203,40.71099,14.70244,-0.8209817551686037
1233,47.30737,5.065881,-0.8086730045615043
1046,40.33639,-1.10667,-0.8078076443904445
906,46.08253,10.95804,-0.8065214063666523
1192,42.40538,1.13,-0.801217758943363
1167,44.92008,2.441082,-0.8002193116528199
1137,44.82112,20.459113,-0.7955402635939305
1174,52.077148,4.289185,-0.7881262295328424
713,53.028647,18.666103,-0.7810458045011917
938,56.672901,12.8576,-0.779272860185168
1133,49.07655,8.40666,-0.7786129494307726
1151,51.939783,15.518861,-0.7691132927255051
1202,42.284,21.2738,-0.7687035941778554
1169,45.84299,13.54308,-0.7678273011676022
715,43.6287,0.179069,-0.7670846279551164
1204,41.886019,12.541618,-0.7629102950905062
1103,47.4029,8.6134,-0.7572860282098973
843,43.223044,27.587239,-0.7545536110561373
910,49.20272446,16.61628723,-0.7529688824126296
1142,46.632142,27.730886,-0.7486038630807528
1094,55.46333313,26.00416946,-0.7477399170049033
987,49.052284,8.253538,-0.746177275470126
753,42.33611,-3.63611,-0.7454265539870025
736,49.254344,6.867744,-0.7423993451460537
769,41.47676936,2.088977264,-0.7310279872568498
993,47.62,6.157611,-0.7169757594049485
926,52.644169,13.483079,-0.7151347608931194
1075,44.319639,28.610292,-0.708173335954752
893,45.7789,4.9247,-0.706124515572363
1144,42.58194,12.62361,-0.6986979034965425
707,43.230297,0.062339,-0.695089625343959
705,45.5588,8.0564,-0.694631847872547
1118,50.65844442,5.627835291,-0.6915980383391388
1083,40.314518,-3.716868,-0.6915877732174904
1031,45.226667,11.665833,-0.6683831686520506
714,53.134088,17.995712,-0.6655881859219176
1028,44.39703,8.20604,-0.662867450327201
821,45.1758,7.5602,-0.6612347832198362
1139,50.66109467,14.04306316,-0.6597716610793852
981,50.731478,13.75145,-0.6573286526806399
1112,44.92467,10.5172,-0.6556328134928322
990,42.697918,9.446417,-0.6549895093898849
784,55.072222,24.283894,-0.6537847046737724
948,46.6775,12.972,-0.6532926212253588
1109,54.334944,-0.80855,-0.6520481805810843
644,37.4658,118.5019,-0.6489784065122643
298,34.77134,113.65724,-0.6449374947434903
1216,51.54052,5.85307,-0.639022166280091
592,34.1781,117.1694,-0.6373340079338009
692,47.660056,9.485675,-0.636828145853169
32,34.3672,107.1906,-0.6321072773848612
1227,41.636078,25.379683,-0.6309943904722024
879,41.53583,20.6989,-0.630602755768144
193,30.0475,101.9603,-0.6291531219184453
755,51.259431,22.569133,-0.6276549921516986
1215,53.694628,19.968892,-0.6274937064664488
1119,45.623056,13.7875,-0.6256803840375322
858,42.732292,23.310972,-0.6238521933683322
353,41.7867,123.4678,-0.6217834426316897
710,49.23290634,17.66717529,-0.6214669254590849
372,38.8661,121.5213,-0.6203855283835806
645,36.7019,119.12,-0.6142376578639297
1198,51.067439,19.448694,-0.6141783213722232
696,49.91351318,14.7826252,-0.6121618901932776
79,35.0532,118.3429,-0.6067646306615992
1107,50.6134125,5.570222814,-0.6060015415383976
866,50.979455,11.037924,-0.60382694699167
480,27.5002,114.0997,-0.6025965172676926
338,31.3708,120.641,-0.6019504240858629
352,32.1875,119.6707,-0.5969768376005761
818,45.772167,3.0875,-0.5965901407983587
859,43.305286,5.394716,-0.5907755140810388
1220,43.25811,-2.97344,-0.5882613164874582
363,40.8062,111.7276,-0.587390261874393
718,41.096667,-8.555833,-0.585656467998788
75,40.7136,120.9092,-0.5853027926509314
257,45.3039,130.9429,-0.5846237434872594
662,35.4887,112.8508,-0.5831050422676334
395,39.1082,117.237,-0.5814464375419277
907,49.40159607,15.6102457,-0.5809223739590346
195,33.1138,107.0089,-0.5807789191750056
88,34.3474,108.935,-0.5794934120151334
1102,50.010325,8.451527,-0.5790254352386037
699,49.45165634,17.45415878,-0.5788336831624222
232,37.5211,111.1406,-0.5768582786981301
833,47.71611111,13.63222222,-0.5754052184447835
3,47.3636,123.9305,-0.5752369592632056
974,49.841221,7.866222,-0.5733722459861347
73,40.1092,124.3633,-0.5732968026909196
210,42.2217,123.7153,-0.5719955569707393
223,39.3617,112.4575,-0.5715920822488615
1240,53.371306,-2.239218,-0.5715113025408731
107,37.8486,113.5819,-0.5683402159903076
595,34.4285,115.6702,-0.5672984378068914
411,31.2071,121.577,-0.5661417287383421
490,36.864,118.78,-0.5643303886242996
38,36.6868,117.532,-0.5614505185500417
329,31.3008,121.467,-0.5582755607271053
510,26.9056,112.5664,-0.557875511616398
64,40.6821,109.8538,-0.5573949107772129
742,45.871406,22.908594,-0.5548492521454705
202,41.2991,123.149,-0.5507819085430374
274,38.3254,116.8584,-0.5506309167350198
140,30.2019,114.8988,-0.5492834893167422
266,48.471,129.5029,-0.5477274638489501
502,28.1322,113.0178,-0.5459102959495444
11,46.408,124.902,-0.5449221834276152
896,43.1804,-2.2682,-0.5445613589268351
525,37.5072,122.1067,-0.5436161651972061
201,30.5119,117.0331,-0.5431002251841528
283,33.6067,118.989,-0.5397379547061165
111,42.2554,118.8788,-0.5393059434413472
873,55.39638901,10.38917255,-0.5392376542517917
728,49.442356,1.093789,-0.5389832760748793
887,52.039023,4.359376,-0.5387337763345948
590,37.9844,106.2025,-0.5379869593194825
880,45.0028,7.8375,-0.5377592849098269
